video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
3B5Zcou91yA,LV,2025-12-23 02:29:50.049218+00:00,2025-12-12 20:15:06+00:00,Kylie Minogue - XMAS (Amazon Music Original) (Official Video),Kylie Minogue - XMAS (Amazon Music Original) (Official Video),Kylie Minogue,UCyd8nl1opqfEVwJer32vURA,10,Music,"Kylie, Kylie Minogue, Pop, Pop music, Madonna, Lady gaga, Taylor swift, Geri halliwell, Girls aloud, Spice girls, Scissor sisters, Steps, disco, say something, official video, official, lyrics, future nostalgia, future disco, dua lipa, bbc, bbc radio 2, glastonbury, lovers, katy perry, robyn, can't get you out of my head, spinning around, all the lovers, locomotion, step back in time, new, golden, better the devil you know, love at first sight, goldfrapp, jessie ware, roisin murphy",38,https://i.ytimg.com/vi/3B5Zcou91yA/hqdefault.jpg,en,en-GB,False,201,PT3M21S,hd,False,True,False,False,2844567,23354,3830
Mzw2ttJD2qQ,LV,2025-12-23 02:29:50.049267+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,True,True,False,False,8042655,294431,18433
3BLoozf3MlM,LV,2025-12-23 02:29:50.049280+00:00,2025-12-21 19:20:14+00:00,Minecraft Speedrunner VS 2 Hunters REVIVAL,Minecraft Speedrunner VS 2 Hunters REVIVAL,Dream,UCTkXRDQl0luXxVQrRQvWS6w,20,Gaming,"minecraft, dream, dream minecraft",3,https://i.ytimg.com/vi/3BLoozf3MlM/hqdefault.jpg,en,en,False,1939,PT32M19S,hd,True,True,False,False,3395554,180276,10303
kpv46Phe_Mw,LV,2025-12-23 02:29:50.049290+00:00,2025-12-05 09:00:03+00:00,Клава Кока - СПЛЕТНИ. ШУМ. ЛУК.  (Клип 2025),Клава Кока - СПЛЕТНИ. ШУМ. ЛУК.  (Клип 2025),Клава Кока,UCbj1rZy7-qktxZTawl1S_nA,10,Music,"Artik&Asti, DILARA, Exile, Frame Tamer, JONY, Lovv66, MARGO, Pokrov, Rakhim, SERYABKINA, Satyr, Tenderlybae, deepins, klava koka, nkeeei, Алексей Жидковский, Антон Шастун, Басков, Баста, Братишкин, Бустер, Ваня Дмитриенко, ГАВРИЛИНА, Гоша Карцев, Джарахов, Джиган, Дима Билан, ДимаМ",28,https://i.ytimg.com/vi/kpv46Phe_Mw/hqdefault.jpg,ru,ru,False,132,PT2M12S,hd,False,True,False,False,1409733,42590,3036
e0Eo0D038rQ,LV,2025-12-23 02:29:50.049300+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Volume 2 Trailer | Netflix,Stranger Things 5 | Volume 2 Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/e0Eo0D038rQ/hqdefault.jpg,en,en-US,False,134,PT2M14S,hd,True,True,False,False,15071532,582072,23716
vjuclIY1Uf8,LV,2025-12-23 02:29:50.049309+00:00,2025-12-22 12:02:00+00:00,Lp. Мастерская [47] • #23 СВОБОДНЫЙ ПОЛЁТ [Вперёд за горы!] • Майнкрафт,Lp. Мастерская [47] • #23 СВОБОДНЫЙ ПОЛЁТ [Вперёд за горы!] • Майнкрафт,MrLololoshka (Роман Фильченков),UCAvrIl6ltV8MdJo3mV4Nl4Q,20,Gaming,"Лололошка, Lololoshka, MrLololoshka, Летсплей, Сборка, Скачать, Магия, Моды, Майнкрафт, Minecraft",10,https://i.ytimg.com/vi/vjuclIY1Uf8/hqdefault.jpg,ru,ru,False,2742,PT45M42S,hd,False,True,False,False,559792,59898,3529
omFpj__deFQ,LV,2025-12-23 02:29:50.049318+00:00,2025-12-12 12:00:00+00:00,"ICEGERGERT, Zivert — БАНК (Премьера клипа, 2025)","ICEGERGERT, Zivert — БАНК (Премьера клипа, 2025)",Zivert,UCSSBxO-_qQgZq4tZhMQF1bQ,10,Music,"zivert, зиверт, icegergert, банк, zivert концерт, zivert банк, zivert beverly hills, zivert эгоистка, zivert icegergert, zivert все песни, zivert goodbye, zivert гудбай, zivert айсберг, icegergert концерт, icegergert наследство, icegergert zivert, icegergert гектор, icegergert клип, icegergert type beat, icegergert вопрос ребром, icegergert амстердам, icegergert альбом, icegergert аритмия, аритмия icegergert, альбом icegergert, icegergert банк, зиверт айгергерт",27,https://i.ytimg.com/vi/omFpj__deFQ/hqdefault.jpg,ru,ru,False,181,PT3M1S,hd,False,False,False,False,867425,12837,1015
9VPSFxU-Jq8,LV,2025-12-23 02:29:50.049328+00:00,2025-12-21 14:53:33+00:00,Speed does Africa 🌍 (Official Trailer),Speed does Africa 🌍 (Official Trailer),IShowSpeed,UCWsDFcIhY2DBi3GB5uykGXA,20,Gaming,ishowspeed,1,https://i.ytimg.com/vi/9VPSFxU-Jq8/hqdefault.jpg,en,en,False,77,PT1M17S,hd,False,True,False,False,1257008,87915,14573
UkP1UtS_5fE,LV,2025-12-23 02:29:50.049336+00:00,2025-12-22 12:01:04+00:00,КТО-ТО ОБМАНУЛ ЖИТЕЛЕЙ В МАЙНКРАФТ | Компот Minecraft,КТО-ТО ОБМАНУЛ ЖИТЕЛЕЙ В МАЙНКРАФТ | Компот Minecraft,Компот,UC0cWWruNMb95iCBEOzPnjRA,20,Gaming,"компот, майнкрафт, compot, minecraft, компот в майнкрафте, игры, роман компот, майн, кто-то обманул жителей в майнкрафт, кто-то, обманул, обман, обманул в майнкрафт, жители в майнкрафт, жители, снег в майнкрафт, снег, холод в майнкрафт, холод, зима в майнкрафт, зима, снегопад, ветер, пикник, жители устроили пикник в майнкрафт, жители замёрзли в майнкрафт, жители замёрзли, качок в майнкрафт, житель качок, сильный житель, тренер в майнкрафт, тренер, новый год в майнкрафт, новый год, лето",35,https://i.ytimg.com/vi/UkP1UtS_5fE/hqdefault.jpg,ru,ru,False,608,PT10M8S,hd,True,True,False,False,305034,14098,1463
eiyp-jm_psc,LV,2025-12-23 02:29:50.049346+00:00,2025-12-04 21:00:06+00:00,"Betsy, Ded M – Под Новый Год","Betsy, Ded M – Под Новый Год",Бэтси Girl,UC_rA7LUE1g4YVPW97JBrRMw,10,Music,"сигма бой, песни для детей, сигма, сигма бой клип, сигма бой пародия, live на детском радио, клип сигма boy, betsy мария янковская сигма бой, морис сигма бой, сигма бой ремикс, betsy, сигма бой лабубу, песня сигма бой, морис пародии, сигма бой тикток, ремикс, сигма сигма бой, игра в кальмара сигма бой, sigma boy, детский вокал, морис пародия, betsy под новый год, под новый год, под новый год песня, бетси под новый год, бэтси, бэтси под новый год, бетси",28,https://i.ytimg.com/vi/eiyp-jm_psc/hqdefault.jpg,ru,ru,False,163,PT2M43S,hd,False,True,False,False,2730015,29647,2177
