video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
FnyuJ1U_c-U,PL,2026-01-20T02:35:22.944512+00:00,2026-01-16T08:00:20Z,Mrozu feat. Julia Pietrucha - Anioły (Pojedynek - official promo video),Mrozu feat. Julia Pietrucha - Anioły (Pojedynek - official promo video),Mrozu,UCFGAXAPCEw6wIj8W5LKPSyw,10,Music,"mrozu, julia pietrucha, anioły, anioly, pojedynek, nie stało się nic, jak nie my to kto, mrozu złoto, miliony monet, vito bambino, lecimy za wysoko, za daleko, aura, galacticos, szerokie wody, bo jak nie my to kto, supermoce, igo, meskie granie, mtv unplugged, palę w oknie, nic do stracenia, daria zawiałow, dawid podsiadło, sanah, kortez, baranovski, sochacka, i ciebie też, sobel, eldorado, taco hemingway, zlote bloki, zalewski, hyży, kwiat jabloni, gibbs, margaret, gelato, tazosy, 2026",41,https://i.ytimg.com/vi/FnyuJ1U_c-U/hqdefault.jpg,pl,pl,False,282,PT4M42S,hd,False,False,False,False,309362,9032,491
X2FAizaEkls,PL,2026-01-20T02:35:22.944552+00:00,2026-01-18T06:56:34Z,Heated Wizardry - SNL,Heated Wizardry - SNL,Saturday Night Live,UCqFzWxSCi39LnW1JKFR3efg,23,Comedy,"video, SNL, Saturday Night Live, live, new york, comedy, sketch, funny, hilarious, late night, host, music, guest, laugh, impersonation, actor, improv, musician, season 51, snl51, snl 51, Finn Wolfhard, stranger things, stranger things cast, stranger things actor, Finn Wolfhard interview, Finn Wolfhard on SNL, It, Hell of a Summer, It Chapter Two, Ghostbusters: Afterlife, The Turing, A$AP Rocky, ASAP Rocky, Finn Wolfhard hosts SNL, harry potter, heated rivalry, television series, trailer",39,https://i.ytimg.com/vi/X2FAizaEkls/hqdefault.jpg,en,en,False,196,PT3M16S,hd,False,True,False,False,2648072,127225,5007
dtFwsAe_QFI,PL,2026-01-20T02:35:22.944565+00:00,2026-01-18T13:01:18Z,"KUPUJE MŁODSZEMU BRATU WSZYSTKO, JEŚLI WYGRA W GRE!","KUPUJE MŁODSZEMU BRATU WSZYSTKO, JEŚLI WYGRA W GRE!",Jawor,UCBp1uKUOq9oEcLFEsNutcbw,24,Entertainment,"jaworsski, jaworssski, jawor, funny, montage, montaz, jaworski, jawor gry, jawor julek, julek, jawor brat, jawor challenge, wyzwanie, 24h, 50h, 100h, kto szybciej, kto pierwszy, kupuje, kupuje mu wszystko, kupuje bratu, kupuje bratu wszystko, family friendly",23,https://i.ytimg.com/vi/dtFwsAe_QFI/hqdefault.jpg,pl,pl,False,1337,PT22M17S,hd,False,True,False,False,306922,13457,446
oOhyiK78O1g,PL,2026-01-20T02:35:22.944574+00:00,2026-01-18T12:01:32Z,Wiśnia Bakajoko - I nic się nie zmienia,Wiśnia Bakajoko - I nic się nie zmienia,Wiśnia Bakajoko,UCp3RmBdng1_MZqm19ayLxug,10,Music,,0,https://i.ytimg.com/vi/oOhyiK78O1g/hqdefault.jpg,pl,pl,False,152,PT2M32S,hd,False,True,False,False,83385,8381,279
-1UJJPAWudQ,PL,2026-01-20T02:35:22.944584+00:00,2026-01-14T16:00:13Z,Euphoria Season 3 | Trailer | HBO Max,Euphoria Season 3 | Trailer | HBO Max,HBO Max,UCx-KWLTKlB83hDI6UKECtJQ,24,Entertainment,"hbo max, hbo, hbo originals, hbo original series, hbo trailer, new on hbo, hbo max originals, hbo max trailer, hbo max series, hbo max youtube, euphoria, euphoria season 3, euphoria trailer 1, euphoria trailer, zendaya, sydney sweeney, jacob elordi, rue, cassie, nate, alexa demie, maddy, lexi, jules, maude apatow, hunter schafer, zendaya euphoria, euphoria new season, hbo euphoria season 3, sydney sweeney euphoria, sydney sweeney cassie, cassie and nate, cassie and maddy",33,https://i.ytimg.com/vi/-1UJJPAWudQ/hqdefault.jpg,en,en,False,145,PT2M25S,hd,True,True,False,False,4327235,103952,7021
ooNwSxBOss0,PL,2026-01-20T02:35:22.944592+00:00,2026-01-19T14:22:50Z,OSZUKUJE LUCZKA i PIMPKA w CHOWANYM na Wojanowicach!,OSZUKUJE LUCZKA i PIMPKA w CHOWANYM na Wojanowicach!,Wojan Games,UCzTFc6-iB68HTx3syrjTN_w,20,Gaming,"wojan, minecraft, gry, wojan minecraft, po polsku, wojan games, survival, minecraft survival, wojan survival, wojanowice, surwiwal, ptyś, ptys, noob, noobek, wojanek, napoj wojanek, picie wojana, oszukuje luczka i pimpka w chowanym na wojanowicach, luczek, pimpek, chowany",22,https://i.ytimg.com/vi/ooNwSxBOss0/hqdefault.jpg,pl,pl,False,1332,PT22M12S,hd,False,True,False,False,168660,4041,565
WIRYZ5r2sSo,PL,2026-01-20T02:35:22.944601+00:00,2026-01-15T13:01:06Z,PSR x Opał x Pezet - BEZ I SEN,PSR x Opał x Pezet - BEZ I SEN,PSR OFFICIAL,UCFDt-xINtouiwUtq1RhpqYQ,10,Music,,0,https://i.ytimg.com/vi/WIRYZ5r2sSo/hqdefault.jpg,pl,pl,False,174,PT2M54S,hd,False,True,False,False,201819,7613,198
iyMI9ES-7Nc,PL,2026-01-20T02:35:22.944609+00:00,2026-01-15T15:58:06Z,The Sims 4: Royalty & Legacy | Official Reveal Trailer,The Sims 4: Royalty & Legacy | Official Reveal Trailer,The Sims,UCFXKLSrT-4-Mf5TRqv40rgw,20,Gaming,"The Sims 4, The Sims 4 Royalty & Legacy, Sims 4 Royalty & Legacy, The Sims 4 Royalty, Royalty & Legacy, Royalty & Legacy Expansion Pack, Expansion Pack, The Sims 4 Expansion Pack, The Sims 4 Gameplay, Sims 4, TS4, TheSims4, The Sims, Sims, The Sims (Video Game), Sims royal, Sims royalty, sims family, build/buy, Sims reveal trailer",20,https://i.ytimg.com/vi/iyMI9ES-7Nc/hqdefault.jpg,en,en,False,160,PT2M40S,hd,False,True,False,False,1073956,33811,3658
ZOk_eFpK-Ns,PL,2026-01-20T02:35:22.944616+00:00,2026-01-17T22:06:51Z,ŚWIAT KTÓRY NIE POWINIEN ISTNIEĆ - ANARCHIA SMP 3,ŚWIAT KTÓRY NIE POWINIEN ISTNIEĆ - ANARCHIA SMP 3,Sagi,UCK6uPvKHtTDgjxFpAF1RsdQ,20,Gaming,,0,https://i.ytimg.com/vi/ZOk_eFpK-Ns/hqdefault.jpg,pl,pl,False,10076,PT2H47M56S,hd,False,True,False,False,259764,11696,824
9KTT-103_VA,PL,2026-01-20T02:35:22.944625+00:00,2026-01-16T15:11:47Z,OG Olgierd - PLIK WALK,OG Olgierd - PLIK WALK,GoochGang,UCV_EQZ04o9OTPF-XkaGUlEA,10,Music,,0,https://i.ytimg.com/vi/9KTT-103_VA/hqdefault.jpg,pl,pl,False,146,PT2M26S,hd,False,True,False,False,71994,4627,305
