video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
GWyyCtNgmgU,ZA,2025-12-21 02:34:55.973521+00:00,2025-12-15 12:22:57+00:00,We-Skhinkily,We-Skhinkily,MENZI MUSIC - Topic,UCo47nn5v4cFtRU8BbvY7kog,10,Music,"MENZI MUSIC, Stshomi Shange, Menzi Mabizela, Unamagqubu, We-Skhinkily",5,https://i.ytimg.com/vi/GWyyCtNgmgU/hqdefault.jpg,en,en,False,212,PT3M32S,hd,False,True,False,False,770419,22687,772
e0Eo0D038rQ,ZA,2025-12-21 02:34:55.973561+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Volume 2 Trailer | Netflix,Stranger Things 5 | Volume 2 Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/e0Eo0D038rQ/hqdefault.jpg,en,en-US,False,134,PT2M14S,hd,True,True,False,False,14396029,570952,23305
zAd6mDrJz-8,ZA,2025-12-21 02:34:55.973573+00:00,2025-12-18 18:01:11+00:00,SIDEMEN AMONG US BUT THE IMPOSTOR IS A PEANUT,SIDEMEN AMONG US BUT THE IMPOSTOR IS A PEANUT,MoreSidemen,UCh5mLn90vUaB1PbRRx_AiaA,22,People & Blogs,"sidemen, moresidemen, miniminter, ksi, zerkaa, behzinga, tbjzl, vikkstar, wroetoshaw",9,https://i.ytimg.com/vi/zAd6mDrJz-8/hqdefault.jpg,en,en-GB,False,3939,PT1H5M39S,hd,False,True,False,False,3145288,116604,6525
49GhgLUjzdI,ZA,2025-12-21 02:34:55.973583+00:00,2025-12-11 10:00:06+00:00,"Officixl RSA, Benzoo, Sizwe Alakine - Mabalabala [Feat. Bob Mabena, Mellow & Sleazy, Mid9t]","Officixl RSA, Benzoo, Sizwe Alakine - Mabalabala [Feat. Bob Mabena, Mellow & Sleazy, Mid9t]",Officixl Rsa,UCQw1YZO2UO8PTtOsj1VGyXg,10,Music,"Mabalabala, Yabalabala",2,https://i.ytimg.com/vi/49GhgLUjzdI/hqdefault.jpg,en,en,False,338,PT5M38S,hd,False,True,False,False,1507020,15603,443
YqdAEdkHrwo,ZA,2025-12-21 02:34:55.973591+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,False,False,15980491,376349,21023
ZNvlOFxNk4U,ZA,2025-12-21 02:34:55.973599+00:00,2025-12-17 11:01:09+00:00,NOOB VS PRO: DEER CULT HOUSE BUILD CHALLENGE in Minecraft 99 Nights in a Forest!,NOOB VS PRO: DEER CULT HOUSE BUILD CHALLENGE in Minecraft 99 Nights in a Forest!,Maizen,UCJHBJ7F-nAIlMGolm0Hu4vg,20,Gaming,"Minecraft, Maizen",2,https://i.ytimg.com/vi/ZNvlOFxNk4U/hqdefault.jpg,en,en,False,1296,PT21M36S,hd,False,True,False,False,2280016,15434,981
hRr2UP8U1PE,ZA,2025-12-21 02:34:55.973607+00:00,2025-12-04 13:00:06+00:00,"Sam Deep, Nia Pearl, Boohle, Mano - Shela (Official Music Video)","Sam Deep, Nia Pearl, Boohle, Mano - Shela (Official Music Video)",SamDeepVEVO,UCqWvMzqf3RpbnKF3YCDoc4w,10,Music,"Sam Deep, Nia Pearl, Boohle, Mano, Universal Music (Pty) Ltd., Amapiano, SamDeep, MaDeepana, KusezoKhanya, Thokoza, Isgubhu, iMpumelelo, BoGogo, KingsOfKwapi, HitFactory, SouthAfricanMusic, AmapianoToTheWorld, DJProducer, WelcomeToTheParty, Genesis, Kwakhanya",21,https://i.ytimg.com/vi/hRr2UP8U1PE/hqdefault.jpg,en,und,False,259,PT4M19S,hd,False,True,False,False,2831763,26919,822
Lozvm2NqRWk,ZA,2025-12-21 02:34:55.973614+00:00,2025-12-16 13:17:29+00:00,"FAST & FURIOUS 11 Trailer (2027) Vin Diesel, Paul Walker New Era ","FAST & FURIOUS 11 Trailer (2027) Vin Diesel, Paul Walker New Era ",Rinat Abushaev,UChv6f0bkZxYsKjI4_TqIfow,10,Music,,0,https://i.ytimg.com/vi/Lozvm2NqRWk/hqdefault.jpg,ru,ru,False,107,PT1M47S,hd,False,True,False,False,613477,0,0
2ITzIazwh3Y,ZA,2025-12-21 02:34:55.973622+00:00,2025-12-15 19:02:25+00:00,yes. i literally beat the game. in this video. pls watch.,yes. i literally beat the game. in this video. pls watch.,CoryxKenshin,UCiYcA0gJzg855iSKMrX3oHg,20,Gaming,"re4, resident evil, requiem, news, leon, resident evil 4, game, gameplay, walkthrough, playthrough, ashley, hardcore, full game, coryxkenshin, cory, kenshin, funny, hilarious, moments, reaction, yes, literally, beat, the, video",25,https://i.ytimg.com/vi/2ITzIazwh3Y/hqdefault.jpg,en,en-US,False,11640,PT3H14M,hd,False,True,False,False,4419653,266743,19224
TSQabEquNhk,ZA,2025-12-21 02:34:55.973631+00:00,2025-12-12 18:00:40+00:00,"Dj Smallz, ZinedinexSguche, 031CHOPPA - ZEP ft. Uncool MC (Lyrics)","Dj Smallz, ZinedinexSguche, 031CHOPPA - ZEP ft. Uncool MC (Lyrics)",life + lyrics,UClTZwJ5JisRV0cbfJ_639Gw,10,Music,lyrics,1,https://i.ytimg.com/vi/TSQabEquNhk/hqdefault.jpg,en,en,False,309,PT5M9S,hd,False,True,False,False,477052,2681,46
tGLz5M0uhFs,ZA,2025-12-21 02:34:55.973639+00:00,2025-12-16 16:30:17+00:00,Avengers: Doomsday - First Trailer (2026) Marvel Studios,Avengers: Doomsday - First Trailer (2026) Marvel Studios,Teaser Universe,UCa2MXjBtWn91WPHWRBCLI6Q,1,Film & Animation,"avengers doomsday, doomsday trailer, avengers doomsday trailer chris evans, avengers doomsday robert downey jr, avengers doomsday leaks, avengers doomsday trailer, avengers doomsday 2026 trailer, tobey maguire doomsday trailer, doomsday trailer leak, avengers doomsday official trailer, avengers doomsday trailer official, robert downey jr dr doom trailer, avengers doomsday tobey maguire, trailers, avengers doomsday new trailer, avengers doomsday cast, avengers doomsday cast reveal",17,https://i.ytimg.com/vi/tGLz5M0uhFs/hqdefault.jpg,en,en,False,70,PT1M10S,hd,False,True,False,False,3856223,33063,2129
