video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
tHVDy4vYApA,MT,2025-12-10 05:38:01.967406+00:00,2025-11-28 13:09:15+00:00,BAROTA (MUSIC VIDEO) SIDHU MOOSE WALA | THE KIDD | LATEST PUNJABI SONGS 2025,BAROTA (MUSIC VIDEO) SIDHU MOOSE WALA | THE KIDD | LATEST PUNJABI SONGS 2025,Sidhu Moose Wala,UC9ChdqQRCaZmTCwSJ49tcbw,10,Music,"sidhu moosewala, sidhu moosewala latest song, sidhu moosewala leaked songs, sidhu moosewala official videos, sidhu moosewala official song, latest punjabi song 2020",6,https://i.ytimg.com/vi/tHVDy4vYApA/hqdefault.jpg,en,en,False,319,PT5M19S,hd,False,True,,,40745783,2351919,4253209
Fv0leN8TmR8,MT,2025-12-10 05:38:01.967430+00:00,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",27,https://i.ytimg.com/vi/Fv0leN8TmR8/hqdefault.jpg,en,en,False,121,PT2M1S,hd,True,True,,,7467472,313704,16699
Ntp522Cad-s,MT,2025-12-10 05:38:01.967441+00:00,2025-12-07 22:10:52+00:00,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,UCTv-XvfzLX3i4IGWAm4sbmA,17,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",24,https://i.ytimg.com/vi/Ntp522Cad-s/hqdefault.jpg,es,es,False,195,PT3M15S,hd,False,True,,,4494956,66009,5656
FeaRXx2VDhI,MT,2025-12-10 05:38:01.967451+00:00,2025-12-05 11:30:23+00:00,Top 50 Christmas Songs of All Time 🎄 Best Christmas Music Playlist,Top 50 Christmas Songs of All Time 🎄 Best Christmas Music Playlist,Christmas Songs and Carols - Love to Sing,UCn0JHLJWiO3_Y5xfNPcF_Ug,10,Music,"top christmas song, christmas songs, top christmas songs of all time, top 100 christmas songs of all time, best christmas songs of all time, best christmas songs, top christmas songs, top 100 christmas songs, classic christmas songs, christmas songs playlist, best christmas music, christmas songs medley, top 100 christmas songs and carols, top 100 christmas songs and carols playlist",14,https://i.ytimg.com/vi/FeaRXx2VDhI/hqdefault.jpg,en,en,False,8351,PT2H19M11S,hd,False,True,,,1805800,5481,272
VI6XO8EijT4,MT,2025-12-10 05:38:01.967461+00:00,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,UCn_FAXem2-e3HQvmK-mOH4g,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",19,https://i.ytimg.com/vi/VI6XO8EijT4/hqdefault.jpg,en,en,False,58,PT58S,hd,True,True,,,7674613,576361,32014
S-LMSpzlnc0,MT,2025-12-10 05:38:01.967469+00:00,2025-12-07 15:44:41+00:00,Race Highlights | 2025 Abu Dhabi Grand Prix,Race Highlights | 2025 Abu Dhabi Grand Prix,FORMULA 1,UCB_qr75-ydFVKSF9Dmo6izg,17,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, abu dhabi, f1 2025 championship",12,https://i.ytimg.com/vi/S-LMSpzlnc0/hqdefault.jpg,en,en,False,503,PT8M23S,hd,False,True,,,4013591,89777,7083
XNC4eAVXPvU,MT,2025-12-10 05:38:01.967477+00:00,2025-12-08 17:00:07+00:00,Olsi Bylyku ft. Gjovalin Shani - Lule Mali,Olsi Bylyku ft. Gjovalin Shani - Lule Mali,Olsi Bylyku,UCOP0YesJYWKvcBZVC3_IxmQ,10,Music,"olsi bylyku, gjovalin shani, olsi bylyku gjovalin shani, fole publishing, fole artist, fole, new hits, best new music 2025, best new hits 2025, new music 2025, fresh hits, international, worldwide, english, french music, best music 2025, best music online, best music available, watch new best videos of 2025, worldwide hits of the moment, english language, where to find the best hits, where to find the best music, music online, best music of today, best music of the week",26,https://i.ytimg.com/vi/XNC4eAVXPvU/hqdefault.jpg,en,fr,False,150,PT2M30S,hd,True,True,,,858304,19470,492
LvUnF8oApaM,MT,2025-12-10 05:38:01.967484+00:00,2025-11-13 12:30:07+00:00,Kalamkaval Official Trailer | Mammootty | Vinayakan | Jithin K Jose | MammoottyKampany,Kalamkaval Official Trailer | Mammootty | Vinayakan | Jithin K Jose | MammoottyKampany,Mammootty Kampany,UC6wkoCUd5gIYTDK6YUfI7Rw,24,Entertainment,"kalamkaval mammootty, mammootty kalamkaval, mammootty kalamkaval movie, kalamkaval mammootty teaser, kalamkaval mammootty latest, kalamkaval mammootty vinayakan, kalamkaval mammootty movie teaser, kalamkaval mammootty movie trailer, kalamkaval mammootty movie release date, kalamkaval mammootty movie latest update, kalamkaval movie, kalamkaval malayalam movie, kalamkaval, kalamkaval motion poster, kalamkaval movie news, kalamkaval bts, kalamkaval promo teaser, mammooty",18,https://i.ytimg.com/vi/LvUnF8oApaM/hqdefault.jpg,en,ml,False,110,PT1M50S,hd,True,True,,,2857763,84132,4154
sRGe86bUsOs,MT,2025-12-10 05:38:01.967492+00:00,2025-12-06 20:59:57+00:00,Christmas Brainrots Update + SANTA FUSE Machine!,Christmas Brainrots Update + SANTA FUSE Machine!,CaylusBlox,UCsPMNatXCwqyUuJilBT73jg,20,Gaming,"caylusblox, caylus roblox, caylus, roblox, Steal a brainrot update, ADMIN ABUSE In Steal a Brainrot!, Steal a Brainrot UPDATE + Admin Abuse, admin abuse, steal a brainrot, witchs fuse, caylus steal a brainrot, dump update, caylus aura, caylus admin abuse, steal a brainrot update, w brainrot, Taco Tuesday ADMIN ABUSE + New BRAINROT!, tung tung tung sahur, tung tung sahur steal a brainrot, santa fuse machine, caylus fuse machine, caylus steak, caylus steal a brainrot christmas",23,https://i.ytimg.com/vi/sRGe86bUsOs/hqdefault.jpg,en-US,en-US,False,12210,PT3H23M30S,hd,False,True,,,3385670,94108,1045
9ME5J_bnFiA,MT,2025-12-10 05:38:01.967500+00:00,2025-12-03 17:00:10+00:00,Nikita & Mariglen Hazizaj - Engjëll babi im (Official Video),Nikita & Mariglen Hazizaj - Engjëll babi im (Official Video),Mariglen Hazizaj,UCJRAaWDFKB9kSoPGJFW1LfA,24,Entertainment,nikita mariglen hazizaj engjell babi official video,1,https://i.ytimg.com/vi/9ME5J_bnFiA/hqdefault.jpg,en,sq,False,324,PT5M24S,hd,False,True,,,954432,42450,3583
