video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
04GSqsX0S50,TW,2025-12-16 02:29:42.395850+00:00,2025-12-14 13:00:01+00:00,"[COVER] DK X SEUNGKWAN - Die With A Smile (Original Song : Lady Gaga, Bruno Mars)","[COVER] DK X SEUNGKWAN - Die With A Smile (Original Song : Lady Gaga, Bruno Mars)",SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA,10,Music,"에스쿱스, 정한, 조슈아, 호시, 원우, 우지, 디에잇, 민규, 도겸, 승관, 버논, 디노, SCOUPS, JEONGHAN, JOSHUA, JUN, HOSHI, WONWOO, WOOZI, THE 8, MINGYU, DK, SEUNGKWAN, VERNON, DINO, 세븐틴, SEVENTEEN, セブチ",28,https://i.ytimg.com/vi/04GSqsX0S50/hqdefault.jpg,en,en,False,253,PT4M13S,hd,False,True,False,False,1362137,218944,14587
zKhQ46Lvpw4,TW,2025-12-16 02:29:42.395874+00:00,2025-12-15 13:40:03+00:00,《怪奇物語》第 5 季 | 第 2 輯預告 | Netflix,《怪奇物語》第 5 季 | 第 2 輯預告 | Netflix,Netflix Taiwan,UCeH360abfAGTyTpi3nmVwXw,24,Entertainment,"Netflix, Stranger Things 5, 伊萊雯, 傑米坎貝爾鮑爾, 南西惠勒, 史帝夫哈林頓, 哈普警長, 喬奇瑞, 喬絲拜爾斯, 大衛哈伯, 威可那, 威爾拜爾斯, 娜塔莉亞戴爾, 小伊, 強納森拜爾斯, 怪奇物語5, 怪奇物語第5季, 查理希頓, 瑪雅霍克, 米莉芭比布朗, 芬恩伍法德, 莎蒂辛克, 蓋頓馬塔拉佐, 薇諾娜瑞德, 蘿萍巴克利, 諾亞許納普, 路卡斯, 迦勒麥羅林, 達斯汀, 麥克惠勒, 麥克絲",31,https://i.ytimg.com/vi/zKhQ46Lvpw4/hqdefault.jpg,zh-Hant,en-US,False,136,PT2M16S,hd,False,False,False,False,23026,990,79
z1h2VCO32SQ,TW,2025-12-16 02:29:42.395887+00:00,2025-12-14 13:39:41+00:00,HLE vs T1 하이라이트 | Grand Finals | 2025 LoL KeSPA CUP,HLE vs T1 하이라이트 | Grand Finals | 2025 LoL KeSPA CUP,한국e스포츠협회,UC6YqXiwCBfPvPTs3wXgWElQ,20,Gaming,"LoL, 리그오브레전드, LCK, e스포츠, eSports, BNK, BNK 피어엑스, BNK FEARX, 비엔케이, 비엔케이 피어엑스, DK, Dplus Kia, DWG KIA, DAMWON KIA, 담원, 담원 기아, 디플러스, 디플러스 기아, DNF, DN FREECS, 디엔 프릭스, DRX, 디알엑스, GEN, Gen.G, 젠지, HLE, Hanwha Life Esports, 한화생명, 한화생명e스포츠, KT, kt Rolster, kt 롤스터, 케이티, 케이티 롤스터, BRO, 브리온, OK저축은행 브리온, OKSavingsBank BRION, NS, NONGSHIM, NS RedForce, 농심, 농심 레드포스, T1, 티원, Cloud 9, 클라우드나인, C9, 팀리퀴드, TL, Team Liquid, 베트남, Vietnam, 일본, Japan, 디즈니, 디즈니 플러스, Disney Plus",59,https://i.ytimg.com/vi/z1h2VCO32SQ/hqdefault.jpg,ko,ko,False,3133,PT52M13S,hd,False,True,False,False,2245369,25173,10125
0VcsvIlsOnE,TW,2025-12-16 02:29:42.395919+00:00,2025-12-11 12:00:06+00:00,icyball 冰球樂團 - 不在乎 (Official Video),icyball 冰球樂團 - 不在乎 (Official Video),icyball 冰球樂團,UC1s_oAbcNSiTOMuWdjTCJXA,10,Music,,0,https://i.ytimg.com/vi/0VcsvIlsOnE/hqdefault.jpg,zh-Hant,zh-TW,False,245,PT4M5S,hd,True,False,False,False,175149,4952,225
DqP-u7_d2t4,TW,2025-12-16 02:29:42.395938+00:00,2025-12-12 02:11:47+00:00,Resident Evil Requiem - 3rd Trailer（繁中）,Resident Evil Requiem - 3rd Trailer（繁中）,capcomasia,UCiZwoCzO419_V2SbYGFQKdg,20,Gaming,"#ResidentEvilRequiem, #ResidentEvil, #RE9",3,https://i.ytimg.com/vi/DqP-u7_d2t4/hqdefault.jpg,zh-Hant,zh-HK,False,202,PT3M22S,hd,False,True,False,False,89492,2822,546
mjtYzJ1FgjM,TW,2025-12-16 02:29:42.395947+00:00,2025-12-12 10:01:24+00:00,ROBLOX 跑酷，但每過20秒就有一個新詛咒！最後同時4個詛咒，你還可以全破?!【Obby But You're Cursed - 有感筆電】,ROBLOX 跑酷，但每過20秒就有一個新詛咒！最後同時4個詛咒，你還可以全破?!【Obby But You're Cursed - 有感筆電】,有感筆電 Daptoper,UCU-swpBLny7YEqNJB4hI1Kg,20,Gaming,"roblox, 迷因, 梗圖, 迷因梗圖, 有感筆電, daptoper, game, 遊戲, 機械方塊, 罗布乐思, meme, funny, 機器磚塊, 以下單純試圖找到YouTube流量密碼, 生存遊戲, 恐怖遊戲, 搞笑遊戲, 進化, Minecraft, 冒險, 生存, 死亡, 熱門, 好看, 有趣, 奇怪, 小遊戲, 小品遊戲, 網頁遊戲, 等級1, 等級99, 神級, 成長遊戲, 養成遊戲, 奇怪地圖, 惡搞地圖, 整人地圖, 逃離, 怪人, 成長, 脫逃成功, 逃脫地圖, 殺人, 逃脫, 逃出, 跑酷, 嚇人, 整人遊戲, 糞GAME, 怪物, 奇怪遊戲, 奇怪的遊戲, 怪誕, 養成型遊戲, 爆笑, 搞笑, 搞笑地圖, 恐怖地圖, 爆笑遊戲, 生存地圖, 可怕的頭, 挑戰系列, ROBLOX 有感筆電, Roblox Daptoper, 死亡遊戲, roblox roleplay, roblox funny moments, roblox doors, OP, 最強武器, blox fruits, 娛樂, 手遊, 恐怖, 手機遊戲, 新遊戲, 精華, 遊戲推薦, 電玩, 免費, 實況, 怪談, 台灣, 閲覧注意",84,https://i.ytimg.com/vi/mjtYzJ1FgjM/hqdefault.jpg,zh-TW,zh-TW,False,1044,PT17M24S,hd,False,True,False,False,315830,9134,734
Vs5NViM8TSY,TW,2025-12-16 02:29:42.395957+00:00,2025-12-15 09:00:46+00:00,ヨルシカ - 八月、某、月明かり（OFFICIAL VIDEO）,ヨルシカ - 八月、某、月明かり（OFFICIAL VIDEO）,ヨルシカ / n-buna Official,UCRIgIJQWuBJ0Cv_VlU3USNA,10,Music,,0,https://i.ytimg.com/vi/Vs5NViM8TSY/hqdefault.jpg,ja,ja,False,283,PT4M43S,hd,False,False,False,False,540859,66075,3818
kOSHDsNfsFc,TW,2025-12-16 02:29:42.395964+00:00,2025-12-11 17:01:26+00:00,【超少女】前導預告，2026年6月暑假大銀幕鉅獻,【超少女】前導預告，2026年6月暑假大銀幕鉅獻,華納兄弟台灣,UC8XIx0eSj0onoJXa2iG0Rmw,1,Film & Animation,"2026, DC, DCU, DC工作室, DC漫畫, WB, 伊芙瑞德利, 傑森摩莫亞, 克雷格格里斯佩, 卡拉佐艾爾, 大銀幕鉅獻, 氪普托, 米莉愛考克, 華納, 華納兄弟, 華納兄弟影業, 詹姆斯岡恩, 超少女, 馬提亞斯修奈爾",19,https://i.ytimg.com/vi/kOSHDsNfsFc/hqdefault.jpg,zh-Hant,en-US,False,121,PT2M1S,hd,False,False,False,False,288136,1803,364
nO_rdotZCiY,TW,2025-12-16 02:29:42.395972+00:00,2025-12-14 09:01:26+00:00,【DinTer】跟大陸女主播雙排EP.5｜給妹子見識真正的超硬打野石頭人Malphite JG！滿滿情緒價值被誇到特心大悅！兩人終於都露出真面目開使鬼吼？一直幫別路讓女主播吃醋了！,【DinTer】跟大陸女主播雙排EP.5｜給妹子見識真正的超硬打野石頭人Malphite JG！滿滿情緒價值被誇到特心大悅！兩人終於都露出真面目開使鬼吼？一直幫別路讓女主播吃醋了！,Dinter,UC0SkNQXPJ60hKEFubOz0fDA,20,Gaming,"Dinter, 丁特, lol, 英雄聯盟, 特哥, 打野, jungle, 石頭人, 墨菲特, 燼, 索拉卡, 奶媽, 賽勒斯, 魔甘娜, 剎雅, 蠻王, 泰達米爾, 星朵拉, 威寇茲",19,https://i.ytimg.com/vi/nO_rdotZCiY/hqdefault.jpg,zh-Hant,zh-TW,False,1000,PT16M40S,hd,False,True,False,False,140808,2085,530
LrabOJbMLy8,TW,2025-12-16 02:29:42.395980+00:00,2025-12-05 14:18:29+00:00,[ 恆星不忘 ✦ Forever Forever ]  周杰倫Jay ╳ 言承旭Jerry ╳ 吳建豪VanNess ╳ 周渝民Vic  ╳ 五月天阿信 Ashin｜Music Video,[ 恆星不忘 ✦ Forever Forever ]  周杰倫Jay ╳ 言承旭Jerry ╳ 吳建豪VanNess ╳ 周渝民Vic  ╳ 五月天阿信 Ashin｜Music Video,相信音樂BinMusic,UC7ovu6a8ydIbDy0fAKmoZ9A,10,Music,,0,https://i.ytimg.com/vi/LrabOJbMLy8/hqdefault.jpg,zh-Hant,zh,False,300,PT5M,hd,True,True,False,False,17764404,57792,10591
