video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
pj0S059Ov2I,KH,2025-12-19 02:28:27.650886+00:00,2025-12-13 21:30:08+00:00,TEPPISETH - ម្ដងទៀតហេីយ (AGAIN & AGAIN),TEPPISETH - ម្ដងទៀតហេីយ (AGAIN & AGAIN),Tep Piseth,UC7HLNkCR3gyZpcq7Qfjhx9g,10,Music,"TPS, Tep Piseth, V9.17, Rapper, Khmer Young Rapper, 20'OutNow, Khmer Rapper, again and again, ម្តងទៀតហើយ, ម្តងទៀតហើយ Again and Again, Thai starts the war",11,https://i.ytimg.com/vi/pj0S059Ov2I/hqdefault.jpg,km,km,False,192,PT3M12S,hd,True,False,,,512964,21785,742
YqdAEdkHrwo,KH,2025-12-19 02:28:27.650924+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,,,15841312,374228,20896
ZFUEUAcRJq8,KH,2025-12-19 02:28:27.650936+00:00,2025-12-16 06:54:20+00:00,រឿង~គ្រួសារចិត្តល្អ~Sakuraschool Simulator~,រឿង~គ្រួសារចិត្តល្អ~Sakuraschool Simulator~,Yana Hong,UCvQqGawc5PHHknuhx4HTL1g,23,Comedy,,0,https://i.ytimg.com/vi/ZFUEUAcRJq8/hqdefault.jpg,km,und,False,996,PT16M36S,hd,False,True,,,145805,698,84
7ZYYb1-nzrs,KH,2025-12-19 02:28:27.650945+00:00,2025-12-05 13:00:06+00:00,GMENGZ - SHE LOVE GANGSTA នាងស្រលាញ់ក្មេងស្ទាវ [OFFICIAL MUSIC VIDEO],GMENGZ - SHE LOVE GANGSTA នាងស្រលាញ់ក្មេងស្ទាវ [OFFICIAL MUSIC VIDEO],GMENGZ,UCqDgGN5PT5dqa5t8p_jT9Vw,10,Music,,0,https://i.ytimg.com/vi/7ZYYb1-nzrs/hqdefault.jpg,en,km,False,191,PT3M11S,hd,True,True,,,820125,16881,562
e0Eo0D038rQ,KH,2025-12-19 02:28:27.650952+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Volume 2 Trailer | Netflix,Stranger Things 5 | Volume 2 Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/e0Eo0D038rQ/hqdefault.jpg,en,en-US,False,134,PT2M14S,hd,True,True,,,13284337,549942,22724
XYM52ZDJ1Ck,KH,2025-12-19 02:28:27.650960+00:00,2025-12-10 04:00:25+00:00,ដាវដែលមិនគួរមាននៅក្នុង Minecraft!,ដាវដែលមិនគួរមាននៅក្នុង Minecraft!,MetaanieMC,UCecqN_Ro-mNbhq8sLiQATRw,20,Gaming,"ដាវដែលមិនគួរមាននៅក្នុង Minecraft!, minecraft, minecraft pvp, minecraft sword",4,https://i.ytimg.com/vi/XYM52ZDJ1Ck/hqdefault.jpg,km,km,False,2416,PT40M16S,hd,False,True,,,375700,24790,951
YPCYvxeYDUI,KH,2025-12-19 02:28:27.650968+00:00,2025-12-13 14:16:33+00:00,MC Bull ទឹកភ្នែកប្រជាជនខ្ញុំ Tears of My People Tuk Pnek Prachachon Khnhom,MC Bull ទឹកភ្នែកប្រជាជនខ្ញុំ Tears of My People Tuk Pnek Prachachon Khnhom,MC BULL,UCrCckeY23qBpXmjmF3ulSkg,10,Music,"MCBULLOFFICIAL, MCBull, Music, MBTEAM, MC BULL, Cambodia Music, Cambodia Rap, Khmer Rap, Mc Bull Music, Mc Bull, mc bull, mc, bull, bullmc, bull mc, dj bull, mb, mbteam, mb studio, mc bull new song, MC BULL ព្រំដែន Border-Prom Den, ព្រំដែន, Border, Prom Den, MC BULL ព្រំដែន, ទឹកភ្នែកប្រជាជនខ្ញុំ Tuk Pnek Prachachon Khnhom, ទឹកភ្នែកប្រជាជនខ្ញុំ, Tuk Pnek Prachachon Khnhom, Tears of My People",29,https://i.ytimg.com/vi/YPCYvxeYDUI/hqdefault.jpg,en,en-US,False,234,PT3M54S,hd,True,True,,,115652,2807,98
rQy08-tI1ts,KH,2025-12-19 02:28:27.650976+00:00,2025-12-14 10:10:59+00:00,ព្រេងនិទានព្រះបុរាណ ភាគទី61 | Tales of Herding Gods | បក្ស MVS 2026,ព្រេងនិទានព្រះបុរាណ ភាគទី61 | Tales of Herding Gods | បក្ស MVS 2026,បក្ស MVS 2026,UCCYCe7SV89g1EXTLKlHhtnw,1,Film & Animation,"ព្រេងនិទានព្រះបុរាណ ភាគទី62, Tales of Herding Gods EP62, ព្រេងនិទានព្រះបុរាណ ភាគទី61, Tales of Herding Gods EP61, ព្រេងនិទានព្រះបុរាណ ភាគទី60, Tales of Herding Gods EP60, ព្រេងនិទានព្រះបុរាណ ភាគទី59, Tales of Herding Gods EP59, ព្រេងនិទានព្រះបុរាណ ភាគទី58, Tales of Herding Gods EP58, movie review, story recapped, movie explained, movie commentary, movie recap, anime recap, សម្រាយរឿង, សម្រាយរឿង Anime, anime explained, explained",20,https://i.ytimg.com/vi/rQy08-tI1ts/hqdefault.jpg,km,en,False,702,PT11M42S,hd,False,True,,,114805,12725,187
CZqOncVg3vs,KH,2025-12-19 02:28:27.650984+00:00,2025-12-13 15:02:09+00:00,1NE - KDMATHAI​ (កដម អាថៃ),1NE - KDMATHAI​ (កដម អាថៃ),1NE,UCgcEqYsDmTTga2RTbE0QAdQ,10,Music,,0,https://i.ytimg.com/vi/CZqOncVg3vs/hqdefault.jpg,en,km,False,186,PT3M6S,hd,True,True,,,104391,4481,220
pHPw8z6N7Ng,KH,2025-12-19 02:28:27.650991+00:00,2025-12-06 05:01:06+00:00,ធ្វើឲ្យរបស់ក្នុង Minecraft មានប្រយោជន៍ជាងមុន EP 2,ធ្វើឲ្យរបស់ក្នុង Minecraft មានប្រយោជន៍ជាងមុន EP 2,HH,UCZWfK-2nVxfbK693nUj79Gw,20,Gaming,"minecraft khmer, minecraft khmer server 2021, minecraft khmer server, minecraft khmer 2021, minecraft khmer play, minecraft khmer mod, minecraft khmer smp, minecraft khmer download, minecraft 100 days khmer, minecraft squid game khmer, minecraft khmer house, minecraft java khmer, របៀប mod minecraft khmer, minecraft multiplayer khmer, minecraft online khmer, minecraft khmer pc, minecraft khmer play 2020, minecraft server khmer 2021 pe, GTAV, GTA5, GTARP",21,https://i.ytimg.com/vi/pHPw8z6N7Ng/hqdefault.jpg,km,und,False,802,PT13M22S,hd,False,True,,,353432,9059,273
