video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
zH1YCmBiCE8,GR,2026-08-02T04:04:12.998172+00:00,2026-07-22T12:00:06Z,Νίκος Οικονομόπουλος – Ένοχο Κορμί | Official Music Video (4K),Νίκος Οικονομόπουλος – Ένοχο Κορμί | Official Music Video (4K),Νίκος Οικονομόπουλος Official YouTube Channel,UClO0RfbC7SKAw4c18eFa_xg,10,Music,"Nikos ikonomopoulos, νικος οικονομοπουλοσ, nikos oikonomopoyloys, enoxo kormi, enoxw kormi, eisitirio Ena, stixoi Enoho Kormi, στιχοι Ένοχο Κορμί, lyrics Enoho Kormi, video clip oikonomopoulos, music video oikonomopoulos, I Apofasi, Opou Ki An Pas, Kati Kano Lathos, Ena Savvato Vradi, Argisa, Isitirio Ena, Me Liga Logia, στιχοι Η Απόφαση, Kataggelw to kormi sou enoxo, katadikasmeno ine gia na prokali, to mialo mou xanei kathe elegxo, kai I zilia exi gini fili mou kali",23,https://i.ytimg.com/vi/zH1YCmBiCE8/hqdefault.jpg,el,el,False,224,PT3M44S,hd,False,True,False,False,369683,5031,254
irVNGjRFZGk,GR,2026-08-02T04:04:12.998214+00:00,2026-07-20T13:00:20Z,Avengers: Doomsday | Official Trailer | In Theaters December 18,Avengers: Doomsday | Official Trailer | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/irVNGjRFZGk/hqdefault.jpg,en,en,False,146,PT2M26S,hd,True,True,False,False,55618245,2481464,187930
asziKzMvGEI,GR,2026-08-02T04:04:12.998226+00:00,2026-07-31T12:00:10Z,ΑΝΑΒΑΘΜΙΣΑ ΚΡΥΦΑ ΤΟΝ ΦΙΛΟ ΜΟΥ ΣΤΟ KEYBOARD ESCAPE ROBLOX,ΑΝΑΒΑΘΜΙΣΑ ΚΡΥΦΑ ΤΟΝ ΦΙΛΟ ΜΟΥ ΣΤΟ KEYBOARD ESCAPE ROBLOX,Gunzar,UCLk_on12RSyA7OAAnmV5S3g,20,Gaming,"gunzar, guenzar, ganzar, γανζαρ, γθενζαρ, γθνζαρ, γρεεκ, κρις, chris, ROBLOX, ROBLOX GR, GUNZAR ROBLOX, GANZAR ROBLOX, BRAINROT, ITALIAN BRAINROT ROBLOX, ROBLOX TUN TUN TUN, ΑΥΤΟ ΕΙΝΑΙ ΤΟ ΠΙΟ ΕΥΚΟΛΟ ΠΑΙΧΝΙΔΙ ΣΤΟ ROBLOX, ΚΕΡΔΙΖΩ ΤΟ ΠΙΟ ΕΥΚΟΛΟ ΠΑΙΧΝΙΔΙ ΣΤΟ ROBLOX, γκρου α γκαρτεν, grow a garden, grow a garden gr, squid games, squid games greek, roblox squid game, 99 days in forest, 99 days in forest roblox, roblox 99 days in forest gr, greek 99 days in forest, TIPS, STEAL A BRAINROT",30,https://i.ytimg.com/vi/asziKzMvGEI/hqdefault.jpg,el,el,False,1335,PT22M15S,hd,False,True,False,False,100153,4347,728
j3N4lwtR11U,GR,2026-08-02T04:04:12.998236+00:00,2026-07-27T13:00:06Z,RACK - PALOMA (Official Music Video),RACK - PALOMA (Official Music Video),Barcode Entertainment,UC0hpVrTGDScpXR16lWbgg6w,10,Music,"rack, oge, superstar, rack menju, menju, paloma, zuma, rack zuma, rack paloma",9,https://i.ytimg.com/vi/j3N4lwtR11U/hqdefault.jpg,en,el,False,213,PT3M33S,hd,False,True,False,False,133530,4893,329
WYxLGQSNyqE,GR,2026-08-02T04:04:12.998245+00:00,2026-07-27T10:13:15Z,ΣΟΥΕΛ | ΟFFICIAL TRAILER,ΣΟΥΕΛ | ΟFFICIAL TRAILER,Tanweer,UClfyuGVSDym4HoaKBIYVN-w,1,Film & Animation,,0,https://i.ytimg.com/vi/WYxLGQSNyqE/hqdefault.jpg,el,el,False,80,PT1M20S,hd,False,False,False,False,20715,477,21
_a6FPnMflIc,GR,2026-08-02T04:04:12.998253+00:00,2026-07-25T11:30:33Z,Το Hοrrοr Παιχνίδι Που Σε Παίρνει Τηλέφωνο!,Το Hοrrοr Παιχνίδι Που Σε Παίρνει Τηλέφωνο!,Unboxholics,UCjBCvQBVTh4XjPwtSMQNcFg,24,Entertainment,"unboxholics, unbox, unboxing, unboxholics live, unboxholics horror night, unboxed, technology, gaming, tech, cinema, entertainment, θνβοχηολιψσ, unboxholics highlights, karpas, καρπας, σακης καρπας, αλεκος καρπας, σακης αλεκος καρπας, sakis karpas, alekos karpas",20,https://i.ytimg.com/vi/_a6FPnMflIc/hqdefault.jpg,el,el,False,11704,PT3H15M4S,hd,False,True,False,False,239008,9085,318
m7k9UMcHbr0,GR,2026-08-02T04:04:12.998262+00:00,2026-07-24T03:59:06Z,"KATSEYE (캣츠아이) ""Animal"" Official MV","KATSEYE (캣츠아이) ""Animal"" Official MV",HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,10,Music,"HYBE, HYBE LABELS, 하이브, 하이브레이블즈",4,https://i.ytimg.com/vi/m7k9UMcHbr0/hqdefault.jpg,ko,ko,False,191,PT3M11S,hd,True,False,False,False,29155910,1246193,123885
IhJvBKe_DMo,GR,2026-08-02T04:04:12.998270+00:00,2026-07-29T17:47:01Z,Μπλε Ώρες | Trailer | Έρχεται στο Νέο Πρόγραμμα του ΣΚΑΪ,Μπλε Ώρες | Trailer | Έρχεται στο Νέο Πρόγραμμα του ΣΚΑΪ,SKAI.gr,UCmHgxU394HiIAsN1fMegqzw,25,News & Politics,,0,https://i.ytimg.com/vi/IhJvBKe_DMo/hqdefault.jpg,el,el,False,124,PT2M4S,hd,False,True,False,False,14978,215,0
FPn6GuRM8KM,GR,2026-08-02T04:04:12.998278+00:00,2026-07-31T12:00:06Z,Η ΔΑΣΚΑΛΑ ΜΕ ΚΥΝΗΓΑΕΙ ΓΙΑ ΝΑ ΜΟΥ ΒΑΛΕΙ ΑΠΟΒΟΛΗ ΣΤΟ ROBLOX!😱,Η ΔΑΣΚΑΛΑ ΜΕ ΚΥΝΗΓΑΕΙ ΓΙΑ ΝΑ ΜΟΥ ΒΑΛΕΙ ΑΠΟΒΟΛΗ ΣΤΟ ROBLOX!😱,Pavl0s,UCA-WVp02vlaKRyG-4HRqPgw,24,Entertainment,"Pavls roblox, pavlos makris roblox, pavl0s, pavlos papa pizza, roblox greek, roblox obby, funny roblox",7,https://i.ytimg.com/vi/FPn6GuRM8KM/hqdefault.jpg,el,el,False,635,PT10M35S,hd,False,True,False,False,52602,1273,137
afSgBNwmZrQ,GR,2026-08-02T04:04:12.998286+00:00,2026-07-31T15:00:06Z,Ariana Grande - petal (official music video),Ariana Grande - petal (official music video),ArianaGrandeVevo,UC0VOyT2OCBKdQhF3BAbZ-1g,10,Music,"Ariana Grande, Ariana Grande LP6, Pop, petal",4,https://i.ytimg.com/vi/afSgBNwmZrQ/hqdefault.jpg,en,en,False,411,PT6M51S,hd,True,True,False,False,6356463,540879,46614
