video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
uMt_WarDvz4,UY,2026-05-27T04:56:05.500019+00:00,2026-05-26T21:55:03Z,"Soy tu Sol, Miriam Britos - Tan Solo Dime, No la Beses","Soy tu Sol, Miriam Britos - Tan Solo Dime, No la Beses",Soy tu Sol,UC0i9H3fe4tpnzzZylVQY7lg,10,Music,"MIRIAM BRITOS, soy tu sol, tu sol cumbia, mirian britos, miriam britos y soy tu sol, tan solo dime dime dime que no, pero no la beses como a mi, muero por ti miriam britos, miriam britos enganchado, mogambo y soy tu sol",10,https://i.ytimg.com/vi/uMt_WarDvz4/hqdefault.jpg,es,es-419,False,183,PT3M3S,hd,False,True,False,False,3677,315,33
loU7OCmViW0,UY,2026-05-27T04:56:05.500056+00:00,2026-05-22T14:15:32Z,VOUGHT RISING Tráiler Español Latino (2027) The Boys Spin-Off,VOUGHT RISING Tráiler Español Latino (2027) The Boys Spin-Off,ONE Media Español,UCcVNDl7ZJMf9lC9a34CY4RA,1,Film & Animation,"Tráiler, Película, Español, Latino, 2026, Vought Rising, Vought Rising Tráiler, The Boys, The Boys Spin-Off, Jensen Ackles, Soldier Boy",11,https://i.ytimg.com/vi/loU7OCmViW0/hqdefault.jpg,es,es,False,106,PT1M46S,hd,False,True,False,False,381132,18087,1347
8Lcua8D9Xoc,UY,2026-05-27T04:56:05.500068+00:00,2026-05-26T18:34:25Z,¿Quién es el ASESINO del TEAM en Murder Mystery 2 Roblox?,¿Quién es el ASESINO del TEAM en Murder Mystery 2 Roblox?,Lyna,UC-cnbLlplnXA4oc7rR21qzg,20,Gaming,,0,https://i.ytimg.com/vi/8Lcua8D9Xoc/hqdefault.jpg,es-419,es-419,False,955,PT15M55S,hd,False,True,False,False,333774,8469,544
G8T1klFGN8Q,UY,2026-05-27T04:56:05.500077+00:00,2026-05-20T03:47:11Z,Egoista,Egoista,La Nueva Historia - Topic,UCceL9Ufeubi1FX77-o3EDlg,10,Music,"La Nueva Historia, JONA, Egoista",3,https://i.ytimg.com/vi/G8T1klFGN8Q/hqdefault.jpg,en,,False,147,PT2M27S,hd,False,True,False,False,12483,331,0
ZWV7h--aY-I,UY,2026-05-27T04:56:05.500087+00:00,2026-05-19T20:00:30Z,Malas Noticias,Malas Noticias,elWacky,UCPgVPrgqpALC1s2e63fgKyg,24,Entertainment,"Jesus, Dios, jesus, dios, elwacky, elWacky, wacky, Cristiano, cristiano, canal, de, criticas, MrBeast, mrbeast, ishowspeed, ISHOWSPEED, IShowSpeed, kai, KAI, Kai Cenat, Compas, youtube, directo, Arruinaron su Stream, mafiathon, twitch, Twitch, Tiktok, TIKTOK, Tik, tiktok, Twitter, twitter, KAI CENAT, CENAT, cenat, kai cenat, Acaba De Hacer Historia, ibai, Este Truco Salió Muy Mal, No Debieron Hacerlo, Nadie Esperaba Esto, Marvel, MARVEL, marvel, Marvel Rivals, Rivals, rivals, RIVALS, marvel rivals, MARVEL RIVALS, juego",52,https://i.ytimg.com/vi/ZWV7h--aY-I/hqdefault.jpg,es,es-419,False,420,PT7M,hd,False,True,False,False,382696,22826,1467
ND-tU0epOHw,UY,2026-05-27T04:56:05.500096+00:00,2026-05-26T19:45:04Z,Hicimos un BÚNKER Militar para Sobrevivir a la Guerra en Minecraft,Hicimos un BÚNKER Militar para Sobrevivir a la Guerra en Minecraft,Nacho,UC8EkcHOycB94lHDkbAPSnQA,20,Gaming,"nacho, dagar, nacho minecraft, dagar y nacho, nacho y dagar, minecraft, minecraft mod, trucos minecraft, dagar minecraft, amigos minecraft, fbi, fbi minecraft, agentes del fbi, policia, nacho y dagar policia, policia minecraft, swat, swat minecraft, Ejercito, Ejercito Minecraft, ejercito vs swat, militares, militar minecraft, guerra minecraft, bunker, bunker minecraft, base secreta minecraft",27,https://i.ytimg.com/vi/ND-tU0epOHw/hqdefault.jpg,es,es,False,1241,PT20M41S,hd,False,True,False,False,555061,9031,456
k3VwwLeorsU,UY,2026-05-27T04:56:05.500105+00:00,2026-05-26T18:11:59Z,KATSEYE - PINKY UP (Live From The American Music Awards/2026),KATSEYE - PINKY UP (Live From The American Music Awards/2026),KATSEYEVEVO,UC7ktB55NdCnoqFhGcpQ-Q5g,10,Music,"KATSEYE, HYBE/Geffen, Pop",3,https://i.ytimg.com/vi/k3VwwLeorsU/hqdefault.jpg,en,en,False,183,PT3M3S,hd,True,True,False,False,949811,74865,4169
Ks_VD4xy8ow,UY,2026-05-27T04:56:05.500113+00:00,2026-05-17T17:32:48Z,The Boys Season 5 Episode 8 Series Finale Trailer,The Boys Season 5 Episode 8 Series Finale Trailer,Rotten Tomatoes TV,UCz1GPotHecuLngiLuY739QQ,1,Film & Animation,"The Boys, The Boys Trailer, The Boys Season 5 Episode 8 Trailer, The Boys S05 E08 Trailer, The Boys Season 5 episode 8 TV Trailer, The Boys Season 5 Episode 8 Trailer 2026, The Boys Season 5 Episode 8 Official Trailer, Trailer, TV Trailer, 2026 Trailers, 2026 TV Trailers, The Boys Series Finale, The Boys Season 5 Prime Video, Prime Video, Entertainment, TV Series, Karl Urban, Jack Quaid, Antony Starr",19,https://i.ytimg.com/vi/Ks_VD4xy8ow/hqdefault.jpg,en,en,False,46,PT46S,hd,False,True,False,False,2040420,44810,4981
ifRDrUhw8Kc,UY,2026-05-27T04:56:05.500121+00:00,2026-05-26T20:02:02Z,DONDE ESTOY???!!!!,DONDE ESTOY???!!!!,JuegaGerman,UCYiGq8XF7YQD00x7wAd62Zg,20,Gaming,"juegagerman, juega, german, holasoygerman, hola soy german, juega german, dreamcore, backrooms",8,https://i.ytimg.com/vi/ifRDrUhw8Kc/hqdefault.jpg,es-419,es-419,False,3508,PT58M28S,hd,False,True,False,False,431459,33001,1964
fcnDmrtj6Sk,UY,2026-05-27T04:56:05.500129+00:00,2026-05-23T16:14:03Z,"Shakira, Burna Boy - Dai Dai (Official Video)","Shakira, Burna Boy - Dai Dai (Official Video)",Shakira,UCYLNGLIzMhRTi6ZOLjAPSmw,26,Howto & Style,,0,https://i.ytimg.com/vi/fcnDmrtj6Sk/hqdefault.jpg,en,en,False,241,PT4M1S,hd,False,True,False,False,25911535,1415889,78614
