video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
9rUrNQb4MU4,GE,2026-08-27T10:09:02.054977+00:00,2026-08-21T18:32:41Z,"Jakone, Kiliana - Была, не была","Jakone, Kiliana - Была, не была",GOLDEN SOUND,UCy8MBNS-yBok_3nbCHJ0H3w,10,Music,,0,https://i.ytimg.com/vi/9rUrNQb4MU4/hqdefault.jpg,ru,en-US,False,166,PT2M46S,hd,False,True,False,False,328328,7030,80
IGk17XQ7IrQ,GE,2026-08-27T10:09:02.055023+00:00,2026-08-25T19:59:52Z,The Witcher 3: Wild Hunt — Remastered | Official Announcement Trailer,The Witcher 3: Wild Hunt — Remastered | Official Announcement Trailer,The Witcher,UCzybXLxv08IApdjdN0mJhEg,20,Gaming,,0,https://i.ytimg.com/vi/IGk17XQ7IrQ/hqdefault.jpg,en,en,False,106,PT1M46S,hd,True,True,False,False,2689399,181490,14988
tE96WxBUKbA,GE,2026-08-27T10:09:02.055036+00:00,2026-08-24T09:00:14Z,ვინ არის ჩემს სახლში ღამის 3 'ზე? - Minecraft,ვინ არის ჩემს სახლში ღამის 3 'ზე? - Minecraft,Geo Zaxid - Games,UCazMACdpHmK8-pVDUyV2dmQ,20,Gaming,"geo zaxid, ჯეო ზახიდი, geo zaxid minecraft, zaxid, ზახიდი, jeozaxidi, minecraft qartulad, გეო ზახიდი, minecraft, geozaxid, ჯეოსახიდი, გეო ზახიდ, zaxidi, geo zaxidi, zaxida, minecraft ქართულად, minecraft map, minecraft maps, games, gaming, fun, funny, video games, მაინქრაფტი, მაინქრავთი, მაინქრაფტი ქართულად, მაინქრაფთი, მაინკრაფტი, მაინკრაფტი ქართულად, ქართულად, zakhid, ჯუმბერა, ჩინჩინა, საშიში, კოკა კოლა, კოკა, კოლა, ცუნამი, პილოტი, აეროპორტი, აეროპორტის კონტროლი",41,https://i.ytimg.com/vi/tE96WxBUKbA/hqdefault.jpg,ka,ka,False,964,PT16M4S,hd,False,True,False,False,31102,720,23
1T3ybpu1P30,GE,2026-08-27T10:09:02.055050+00:00,2026-08-20T21:01:58Z,"Была, не была","Была, не была",Release - Topic,UCtvcx2JSDThyOmRg0wDISCw,10,Music,"Jakone, Kiliana, Была, не была",3,https://i.ytimg.com/vi/1T3ybpu1P30/hqdefault.jpg,ru,ru,False,168,PT2M48S,hd,False,True,False,False,448311,5410,0
X1aFkAkFASk,GE,2026-08-27T10:09:02.055059+00:00,2026-08-15T04:06:21Z,Avengers: Doomsday | Special Look | In Theaters December 18,Avengers: Doomsday | Special Look | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/X1aFkAkFASk/hqdefault.jpg,en,en,False,130,PT2M10S,hd,True,True,False,False,35562975,1334993,59400
_Sib-iqPH_c,GE,2026-08-27T10:09:02.055069+00:00,2026-08-25T13:00:04Z,ყველაზე გიჟური დამალობანა! 🫨 ბიჭებთან ერთად @TheZipper69 @NikaTMG @ანტ @CSROOM2,ყველაზე გიჟური დამალობანა! 🫨 ბიჭებთან ერთად @TheZipper69 @NikaTMG @ანტ @CSROOM2,CHANNEL LC LIVE,UCwOuXGAp49SQ1yRI3hjw08w,20,Gaming,"CHANNEL LC, LC, The Zipper, Nika TMG, Nikusha Kalichava, ant, tsotnes bar, csroom, cs2, ქართულად, cs2 qartulad, თამაშები",12,https://i.ytimg.com/vi/_Sib-iqPH_c/hqdefault.jpg,ka,ka,False,770,PT12M50S,hd,False,False,False,False,25786,1898,85
-UxKpMRbUDU,GE,2026-08-27T10:09:02.055079+00:00,2026-08-22T17:12:36Z,Oasis Deep - Вор Не Ходит На Работу,Oasis Deep - Вор Не Ходит На Работу,Oasis Deep,UCAPRbcQD2B3fZ_xx_islisQ,10,Music,,0,https://i.ytimg.com/vi/-UxKpMRbUDU/hqdefault.jpg,ru,ru,False,186,PT3M6S,hd,False,False,False,False,58978,232,2
75ymPmS0UmM,GE,2026-08-27T10:09:02.055088+00:00,2026-08-16T15:50:35Z,10 Новых фильмов 2026 (Трейлеры),10 Новых фильмов 2026 (Трейлеры),HypeFilms,UCuFKgy1b8H0MG-uz47-4GUg,1,Film & Animation,,0,https://i.ytimg.com/vi/75ymPmS0UmM/hqdefault.jpg,ru,ru,False,1118,PT18M38S,hd,False,False,False,False,204801,2025,202
fGSJWKKTT_U,GE,2026-08-27T10:09:02.055098+00:00,2026-08-23T08:00:13Z,მოჩვენება გავხდი და ხალხი შევაშინე! - Minecraft,მოჩვენება გავხდი და ხალხი შევაშინე! - Minecraft,ჯუმბერა,UC6z7-y6JA1HYgwyreQK02aw,20,Gaming,"ჯუმბერა, ჯუმბერი, ჯუმბერიკო, jumbera, jumberi, jumberiko, ქართულად, საქართველო, qartulad, georgia, გასართობი, სასაცილო, გეიმინგი, fun, gaming, games, თამაში, თამაშები, საინტერესო, პერსონაჟი, ყველაზე, minecraft, minecraft qartulad, მაინქრაფთი, მაინკრაფტი, საშიში, sashishi, horror",28,https://i.ytimg.com/vi/fGSJWKKTT_U/hqdefault.jpg,ka,ka,False,758,PT12M38S,hd,False,True,False,False,26620,887,18
T_OFyCSNBOY,GE,2026-08-27T10:09:02.055108+00:00,2026-08-20T15:33:48Z,Wake Up | Mostafa Elsaadi (Lyric Video),Wake Up | Mostafa Elsaadi (Lyric Video),Mostafa Elsaadi,UCd4YRhZILAQxyS6SOF26t4Q,10,Music,"Mostafa Elsaadi, Wake Up, Wake Up Lyrics, Mostafa Elsaadi Wake Up, Wake Up Mostafa Elsaadi, lyrics, lyric video, tech house, spiritual tech house, soulful tech house, deep house, vocal house, soulful house, electronic music, dance music, spiritual house, deep vocal house, female vocal house, melodic house, house music, electronic dance music, new house music, Mostafa Elsaadi 2026",23,https://i.ytimg.com/vi/T_OFyCSNBOY/hqdefault.jpg,en,en,False,339,PT5M39S,hd,False,False,False,False,1443979,8025,123
