video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
sX9_nkfETwQ,SN,2025-12-11 02:29:02.652524+00:00,2025-12-05 19:20:40+00:00,Akhlou Brick  - Thiompintance feat Omzo Dollar,Akhlou Brick  - Thiompintance feat Omzo Dollar,AkhlouBrickTV Officiel,UCxkuK0gCqbrJfCCPwVM7Dpw,10,Music,,0,https://i.ytimg.com/vi/sX9_nkfETwQ/hqdefault.jpg,fr,en,False,269,PT4M29S,hd,False,True,False,False,333196,25906,3276
yzGMPnav4MU,SN,2025-12-11 02:29:02.652572+00:00,2025-12-04 10:01:46+00:00,Série - Marie & Momo - Episodes 33 - 34 - Bande annonce,Série - Marie & Momo - Episodes 33 - 34 - Bande annonce,Marodi TV Sénégal,UCqe0sSESmaQbLFdTExctQLA,24,Entertainment,"Séries, Série, télévisions, sénégal, séries sénégalaises, marodi tv, Marodi, séries africaines, mbarodi, vidéos sénégal, karma, maitresse, pod et marichou, decheance, virginie, emprises, credule, baabel, kay&za",19,https://i.ytimg.com/vi/yzGMPnav4MU/hqdefault.jpg,fr,fr,False,68,PT1M8S,hd,False,True,False,False,343467,12817,90
Ntp522Cad-s,SN,2025-12-11 02:29:02.652584+00:00,2025-12-07 22:10:52+00:00,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,UCTv-XvfzLX3i4IGWAm4sbmA,17,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",24,https://i.ytimg.com/vi/Ntp522Cad-s/hqdefault.jpg,es,es,False,195,PT3M15S,hd,False,True,False,False,4670597,67165,5724
aH6UCQAjh9U,SN,2025-12-11 02:29:02.652593+00:00,2025-12-05 17:00:09+00:00,Aida Samb - Maana (Clip Officiel),Aida Samb - Maana (Clip Officiel),Aida Samb,UCr61TfruScrZP4So22aHIew,10,Music,"aida samb ethio maana clip officiel, aida samb maana clip, aida samb maana, maana clip, maana, aida samb, aida samb nouveauté, aida samb 2025, clip, clip 2025, clip officiel, mbalax, dakar, senegal, afropop, sengam, musique, trace teranga, vibe radio, zik fm, bete bete, xalisso, love, amour, aida samb topando, aida, aida yaw la, wally seck, amadeus, vj, jahman xpress, ash the best, ndakhté lo, mia guissé, iss 814, mao sidibe, viviane chidid",37,https://i.ytimg.com/vi/aH6UCQAjh9U/hqdefault.jpg,fr,wo,False,244,PT4M4S,hd,False,True,False,False,379147,11653,503
RI7ZwGSdNAo,SN,2025-12-11 02:29:02.652602+00:00,2025-12-10 20:05:00+00:00,Série L’OMBRE DE MA FILLE Episode 46 Saison 01 Bande-annonce ,Série L’OMBRE DE MA FILLE Episode 46 Saison 01 Bande-annonce ,Fulbe Production,UCQnprWVkaCgrICF_xhaSU0w,1,Film & Animation,,0,https://i.ytimg.com/vi/RI7ZwGSdNAo/hqdefault.jpg,fr,fr,False,85,PT1M25S,hd,False,True,False,False,13646,1060,20
uDFsNxrvNoo,SN,2025-12-11 02:29:02.652610+00:00,2025-12-03 13:13:28+00:00,Tout savoir sur Mise à jour 5.2.0 😱 || Efootball mobile ,Tout savoir sur Mise à jour 5.2.0 😱 || Efootball mobile ,IBZOGAMING,UC74nI5LDGVtBUeZiEeWj1Iw,20,Gaming,"efootball, efootball mobile, efootball 26, efootball mobile 26, mise à jour 5.2 0, mise à jour 5.2.0 efootball mobile, efootball mobile mise à jour 5.2 0",7,https://i.ytimg.com/vi/uDFsNxrvNoo/hqdefault.jpg,fr-FR,fr,False,278,PT4M38S,hd,False,True,False,False,48429,6950,413
-WUf4H9G2mM,SN,2025-12-11 02:29:02.652617+00:00,2025-12-03 21:43:41+00:00,VJ - Jeune Mara (Clip Officiel),VJ - Jeune Mara (Clip Officiel),VJ,UCNiTCM_vGvvr8iJ8EsmtRaw,10,Music,"VJ, akhlou, album, alum, amadeus, amour, arva, ashs, bass, bete, brick, can, cardilogue, concert, cup, daara, dakar, dans, dialykaba, diop, dip, dm, dundu, dungeen dadj, ecofest, encore, event, fatou, fifa, france, france-senegal, gis, grand, groupe, guisse, hiphop, hoside, jahman, jeeba, jeun",40,https://i.ytimg.com/vi/-WUf4H9G2mM/hqdefault.jpg,af,wo,False,126,PT2M6S,hd,False,True,False,False,251085,15178,480
scGf8G1ufwY,SN,2025-12-11 02:29:02.652625+00:00,2025-12-10 12:00:59+00:00,Série - Doomu Baay - Saison 1 - Episode 16 - Bande annonce Série (Analyse) Khadija et gora Mariama….,Série - Doomu Baay - Saison 1 - Episode 16 - Bande annonce Série (Analyse) Khadija et gora Mariama….,SÉRIE ANALISE,UCc8afta9VxNfO1dj6DY6oOg,22,People & Blogs,,0,https://i.ytimg.com/vi/scGf8G1ufwY/hqdefault.jpg,fr,ar,False,171,PT2M51S,hd,False,False,False,False,12959,84,28
icMeHl81thw,SN,2025-12-11 02:29:02.652632+00:00,2025-12-10 22:53:16+00:00,Real Madrid contre Man City | Champions de l'UEFA 2025/26 | Simulation GamePes21,Real Madrid contre Man City | Champions de l'UEFA 2025/26 | Simulation GamePes21,Pro Football Live Simulation,UCPaMJhRa3K5LLNgVVaPGgNg,17,Sports,"Real Madrid contre Manchester City en direct, Real Madrid contre Man City en direct, Real Madrid contre Manchester City Ligue des Champions en direct, Real Madrid contre Man City match en direct, Real Madrid contre Manchester City en streaming, Real Madrid contre Man City Ligue des Champions UEFA, Real Madrid contre Manchester City Football en direct, Real Madrid contre Manchester City, Madrid contre Man City, Madrid contre Man City en direct, temps forts Real Madrid contre Man City",11,https://i.ytimg.com/vi/icMeHl81thw/hqdefault.jpg,en,fr,False,12616,PT3H30M16S,hd,False,True,False,False,178981,694,0
SA0uBXhbwPY,SN,2025-12-11 02:29:02.652641+00:00,2025-12-08 14:47:40+00:00,Wally B. Seck - live VOGUE - 7 Décembre  2025,Wally B. Seck - live VOGUE - 7 Décembre  2025,Wally B. Seck,UCn35kQ-UglSExf-q1nrvqRw,10,Music,,0,https://i.ytimg.com/vi/SA0uBXhbwPY/hqdefault.jpg,fr,fr,False,5380,PT1H29M40S,hd,False,True,False,False,116328,1798,134
