video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Vawi8a1PsLQ,SI,2026-02-09T03:28:08.931130+00:00,2026-02-03T11:00:06Z,Jakov Jozinović - Ja volim,Jakov Jozinović - Ja volim,Jakov Jozinovic,UCdkexPTGETXAlFLlPObGb1Q,10,Music,"ja volim, ja volim te, jožinović jakov",3,https://i.ytimg.com/vi/Vawi8a1PsLQ/hqdefault.jpg,hr,zxx,False,201,PT3M21S,hd,False,False,False,False,1705826,38112,999
e9HXmMnUEdE,SI,2026-02-09T03:28:08.931164+00:00,2026-02-02T00:59:56Z,The Devil Wears Prada 2 | Official Trailer,The Devil Wears Prada 2 | Official Trailer,20th Century Studios,UC2-BeLxzUBSs0uSrmzWhJuQ,1,Film & Animation,Trailer,1,https://i.ytimg.com/vi/e9HXmMnUEdE/hqdefault.jpg,en,en,False,100,PT1M40S,hd,True,True,False,False,9306257,158150,6243
CLm57ZHTJvQ,SI,2026-02-09T03:28:08.931176+00:00,2026-02-07T14:00:14Z,Minecraft Pro VS 1000 Players,Minecraft Pro VS 1000 Players,Wemmbu,UCkzzNLnuM-VsATWC53ehwOQ,20,Gaming,"wemmbu, flamefrags, unstable smp, wemmbu vs flamefrags, wemmbu unstable smp, wemmbu farlands, minecraft farlands, wemmbu minecraft, wemmbu orbital cannon, orbital strike cannon, unstable universe, wemmbu unstable universe, weembu, wembu, wemmbu dead, wemmbu unstable dead, wemmbu death, wemmbu flamefrags, 2 Minecraft Pros VS 1000 Players, wemmbu vs 1000 players, minutetech, wemmbu minutetech, unstable smp law",23,https://i.ytimg.com/vi/CLm57ZHTJvQ/hqdefault.jpg,en-US,en-US,False,3675,PT1H1M15S,hd,False,True,False,False,3737074,215213,25876
oS3yKFFt2AA,SI,2026-02-09T03:28:08.931185+00:00,2026-01-30T11:00:07Z,TRILE X TRIO MANDILI - MOJA LELO (OFFICIAL VIDEO),TRILE X TRIO MANDILI - MOJA LELO (OFFICIAL VIDEO),LOCO GANG,UCedjT20IpKyyIauHYyZW2Ig,24,Entertainment,,0,https://i.ytimg.com/vi/oS3yKFFt2AA/hqdefault.jpg,sr,sr-Latn,False,180,PT3M,hd,True,True,False,False,1793601,8354,10838
AFuE1LRxm80,SI,2026-02-09T03:28:08.931193+00:00,2026-02-04T18:00:00Z,WAR MACHINE | Official Trailer | Netflix,WAR MACHINE | Official Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Alan Ritchson, Alan Ritchson War Machine, Armor Wars, Dennis Quaid, Jai Courtney, MCU, Marvel War Machine, Military Thriller, Netflix, New Movie Trailers, Patrick Hughes, Reacher Alan Ritchson, Sci-Fi Action, Sci-Fi Thriller 2026, Trailer, War Machine 2026, War Machine Movie, War Machine Netflix, War Machine Official Trailer, War Machine Trailer",20,https://i.ytimg.com/vi/AFuE1LRxm80/hqdefault.jpg,en,en-US,False,123,PT2M3S,hd,True,True,False,False,10807884,171953,14078
itOQJlK17ao,SI,2026-02-09T03:28:08.931202+00:00,2026-02-07T21:10:40Z,GLEDAMO EVENT! T3ENY ZMAGU! | Fortnite,GLEDAMO EVENT! T3ENY ZMAGU! | Fortnite,ScorpLZ,UCDJ_eyz-sgsnk6zvUiPlBDw,20,Gaming,"skorp, skorplz, germa, clash royale, clash royale 1v1, 1vs1, 1v1, event, slo, slovenija, slovenia",11,https://i.ytimg.com/vi/itOQJlK17ao/hqdefault.jpg,sl,sl,False,20918,PT5H48M38S,hd,False,True,False,False,3379,197,0
LhLH-fwNRZg,SI,2026-02-09T03:28:08.931210+00:00,2026-02-02T09:31:52Z,BAKA PRASE X CHODA - BETMEN (OFFICIAL VIDEO),BAKA PRASE X CHODA - BETMEN (OFFICIAL VIDEO),BakaPrase,UCPFkFp9YM3yK7EOhUn0aMDA,22,People & Blogs,,0,https://i.ytimg.com/vi/LhLH-fwNRZg/hqdefault.jpg,sr,sr,False,153,PT2M33S,hd,False,False,False,False,509144,5007,257
6zmKcUa4Xxk,SI,2026-02-09T03:28:08.931218+00:00,2026-02-03T14:00:00Z,The Drama | Official Trailer HD | A24,The Drama | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,1,Film & Animation,"a24, a24 films, a24 trailers, independent films, trailer, HD, official, movie, film, a24 movies, oscar winner, academy award winner",12,https://i.ytimg.com/vi/6zmKcUa4Xxk/hqdefault.jpg,en,en,False,137,PT2M17S,hd,True,True,False,False,9953711,92247,3230
_73vnBLBpII,SI,2026-02-09T03:28:08.931226+00:00,2026-02-08T21:43:46Z,IEM Krakow 2026 - Day 10 - Grand Final,IEM Krakow 2026 - Day 10 - Grand Final,ESL Counter-Strike,UCPq2ETz4aAGo2Z-8JisDPIA,20,Gaming,"ESL, Counter-Strike, ESL CS, ESLCS, ESL CSGO, ESL Counter-Strike, IEM, IEM CS, IEM CSGO, CSGO, esportsisawesomesauce",11,https://i.ytimg.com/vi/_73vnBLBpII/hqdefault.jpg,en,en,False,32884,PT9H8M4S,hd,False,True,False,False,2329392,24709,119
Ct_5ufRlAsw,SI,2026-02-09T03:28:08.931234+00:00,2026-02-05T13:24:04Z,Mozzik - Diss,Mozzik - Diss,MOZZIK,UC8qgvgRbbZuCq9W4VRVe1dA,10,Music,"Mozzik, MOZZIK, mozzik, Mozzik - Diss, Diss, mozzik diss, gimme 5, shqip, albania, kosovo, hiphop, hitet 2026, Hitet e Reja 2026",13,https://i.ytimg.com/vi/Ct_5ufRlAsw/hqdefault.jpg,en,sq,False,372,PT6M12S,hd,False,True,False,False,1508061,32087,2080
