video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
19o3R_AVats,PG,2026-01-11T02:44:26.852222+00:00,2026-01-09T23:15:06Z,Fuerza Regida - Marlboro Rojo (Letra),Fuerza Regida - Marlboro Rojo (Letra),RIXELUS,UCrkF_lRGv6wuOZVNWCuOCuA,10,Music,"fuerza regida, marlboro rojo, 111xpantia, fuerza regida album, fuerza regida marlboro rojo letra, fuerza regida marlboro rojo karaoke, fuerza regida marlboro rojo lyrics, fuerza regida marlboro rojo audio, fuerza regida marlboro rojo tiktok, latin pop, pop latino, musica latina, karaoke, hd, hq, topic, rixelus",17,https://i.ytimg.com/vi/19o3R_AVats/hqdefault.jpg,es,es,False,185,PT3M5S,hd,False,True,False,False,423304,1972,13
-poSVOan2fw,PG,2026-01-11T02:44:26.852261+00:00,2026-01-10T18:00:01Z,The Prototype | Poppy Playtime Chapter 5 Cinematic Trailer,The Prototype | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,UCXqV4yoyC_mmZye6VbKFPeQ,20,Gaming,,0,https://i.ytimg.com/vi/-poSVOan2fw/hqdefault.jpg,en,en,False,106,PT1M46S,hd,False,True,False,False,1117302,139122,12285
ot5Y1XzcaFg,PG,2026-01-11T02:44:26.852272+00:00,2026-01-10T22:49:54Z,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,Joxy,UC3DlDcaefUYr-1skxaiLxVw,20,Gaming,"steal a brainrot giveaway, steal a brainrot giveaway live, steal a brainrot secret giveaway, steal a brainrot live giveaway, steal a brainrot brainrot god giveaway, steal a brainrot stream, steal a brainrot live, steal a brainrot 24/7 stream, steal a brainrot, steal a brainrot god, w steal a brainrot, steal a brainrot game, steal a brainrot gifting, steal a brainrot mod, steal a brainrot glitch, steal a brainrot 24/7, roblox steal a brainrot, steal a brainrot roblox",18,https://i.ytimg.com/vi/ot5Y1XzcaFg/hqdefault.jpg,en,en,False,3,PT3S,hd,False,True,False,False,388278,7640,66
mrV8kK5t0V8,PG,2026-01-11T02:44:26.852281+00:00,2026-01-09T05:01:04Z,Bruno Mars - I Just Might [Official Music Video],Bruno Mars - I Just Might [Official Music Video],Bruno Mars,UCoUM-UJ7rirJYP8CQ0EIaHA,10,Music,"bruno mars, bruno, atlantic records, official video, pop music, R&B, funk, soul, Bruno Mars - I Just Might [Official Music Video], bruno mars i just might, i just might bruno mars, i just might, bruno mars new music, bruno mars new song, mars, bruno mars album, just, might, just might, bruno mars the romantic, the romantic, the romantic bruno mars",22,https://i.ytimg.com/vi/mrV8kK5t0V8/hqdefault.jpg,en,en,False,213,PT3M33S,hd,False,True,False,False,11179576,743988,38747
L73Gq8cNsdg,PG,2026-01-11T02:44:26.852289+00:00,2026-01-10T18:33:35Z,POPPY PLAYTIME CHAPTER 5 RELEASE DATE!! [The Prototype Cinematic Trailer Reaction],POPPY PLAYTIME CHAPTER 5 RELEASE DATE!! [The Prototype Cinematic Trailer Reaction],Thinknoodles,UChd1FPXykD4pust3ljzq6hQ,20,Gaming,,0,https://i.ytimg.com/vi/L73Gq8cNsdg/hqdefault.jpg,en,en,False,759,PT12M39S,hd,False,True,False,False,200459,7835,1782
-JljYMGebyw,PG,2026-01-11T02:44:26.852298+00:00,2026-01-10T21:20:58Z,New OP BRAINROTS + DUELS MACHINE Update!,New OP BRAINROTS + DUELS MACHINE Update!,CaylusBlox,UCsPMNatXCwqyUuJilBT73jg,20,Gaming,"caylusblox, caylus roblox, caylus, roblox, Steal a brainrot update, ADMIN ABUSE In Steal a Brainrot!, admin abuse, steal a brainrot, caylus admin abuse, caylus steak, caylus steal a brainrot christmas, caylus stream, caylus steal a brainrot, christmas eve admin abuse, NEW SKIBIDI TOILET OG UPDATE in Steal a Brainrot.., skibidi toilet, caylus skibidi toilet, Playing SCARY SHWARMA w/ Steak & Foltyn.., New OP BRAINROTS + DUELS MACHINE Update!, steal a brainrot duels",20,https://i.ytimg.com/vi/-JljYMGebyw/hqdefault.jpg,en-US,en-US,False,9255,PT2H34M15S,hd,False,True,False,False,2111424,31419,390
u9rdzKwhxhI,PG,2026-01-11T02:44:26.852306+00:00,2026-01-09T20:00:07Z,French Montana x Max B - Ever Since U Left Me (Official Video),French Montana x Max B - Ever Since U Left Me (Official Video),French Montana,UC-4mIX9ls8ROVk9ApfeYf5w,10,Music,"french montana, rapper, rap, urban, hip hop",5,https://i.ytimg.com/vi/u9rdzKwhxhI/hqdefault.jpg,en,en,False,183,PT3M3S,hd,False,True,False,False,826440,18643,2044
g-4J2X5dNG4,PG,2026-01-11T02:44:26.852314+00:00,2026-01-10T18:35:12Z,Chapter 5's NEWEST Trailer Is WILD...,Chapter 5's NEWEST Trailer Is WILD...,Sheeprampage,UCdPf5251gNKwd8hIBz3RtYg,20,Gaming,,0,https://i.ytimg.com/vi/g-4J2X5dNG4/hqdefault.jpg,en,en,False,686,PT11M26S,hd,False,True,False,False,153542,7831,918
ejJzoB2J--U,PG,2026-01-11T02:44:26.852321+00:00,2026-01-10T21:30:11Z,Minecraft Speedrunner VS 4 Hunters REVIVAL,Minecraft Speedrunner VS 4 Hunters REVIVAL,Dream,UCTkXRDQl0luXxVQrRQvWS6w,20,Gaming,"minecraft, dream, dream minecraft",3,https://i.ytimg.com/vi/ejJzoB2J--U/hqdefault.jpg,en,en,False,3044,PT50M44S,hd,True,True,False,False,948094,84872,10638
HuAfl76f7y4,PG,2026-01-11T02:44:26.852328+00:00,2026-01-09T20:00:07Z,Polo G - 95 Bulls (feat. King Von) (Official Video),Polo G - 95 Bulls (feat. King Von) (Official Video),Polo G,UC0ifXd2AVf1LMYbqwB5GH4g,10,Music,,0,https://i.ytimg.com/vi/HuAfl76f7y4/hqdefault.jpg,en,en,False,167,PT2M47S,hd,False,False,False,False,421053,43347,3831
3i3sLFJisEg,PG,2026-01-11T02:44:26.852335+00:00,2026-01-10T15:30:01Z,AVENGERS: DOOMSDAY - Final Trailer (2026) Marvel Studios,AVENGERS: DOOMSDAY - Final Trailer (2026) Marvel Studios,Teaser Universe,UCa2MXjBtWn91WPHWRBCLI6Q,1,Film & Animation,"doomsday trailer, avengers doomsday official trailer, doomsday trailer leak, doomsday wakanda trailer, doomsday wakanda leaked trailer, doomsday wakanda teaser leak, doomsday teaser, doomsday x men trailer, doomsday teaser 4, doomsday trailer 4, doomsday leak, doomsday fantastic four teaser, wakanda doomsday trailer, wakanda doomsday trailer leaked, avengers doomsday trailer, avengers doomsday teaser, avengers doomsday marvel trailer, x men avengers doomsday trailer leak",18,https://i.ytimg.com/vi/3i3sLFJisEg/hqdefault.jpg,en,en,False,74,PT1M14S,hd,False,True,False,False,83574,1214,88
EfhMEZbf5Yk,PG,2026-01-11T02:44:26.852343+00:00,2026-01-10T13:30:31Z,"never trust your ""teammate""","never trust your ""teammate""",JudeLow,UC2gufCjSyNihNbOEZE50bwQ,20,Gaming,,0,https://i.ytimg.com/vi/EfhMEZbf5Yk/hqdefault.jpg,en,en,False,1413,PT23M33S,hd,False,True,False,False,916946,58816,3928
rB503AM-SRc,PG,2026-01-11T02:44:26.852350+00:00,2026-01-09T17:00:06Z,Juan Gabriel - Así Fue (Letra),Juan Gabriel - Así Fue (Letra),Voces del Alma,UCwR0RlKeSkhvIL6_yYH3oPg,22,People & Blogs,,0,https://i.ytimg.com/vi/rB503AM-SRc/hqdefault.jpg,es,es,False,379,PT6M19S,hd,False,True,False,False,289047,523,14
