video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
ivX_Bule86Q,PE,2026-09-19T04:54:00.703948+00:00,2026-09-18T00:00:06Z,"ROA, Anuel AA - Vamo a Vel (Official Video)","ROA, Anuel AA - Vamo a Vel (Official Video)",ROAVEVO,UCu65nk5q4vDZ8fkUwzJrqNQ,10,Music,"ROA, Anuel AA, Universal Music Latino, Latin Urban, Vamo Vel roa, roa Vamo Vel, letra Vamo Vel roa, Vamo Vel, ETA ROA, Nunk es tarde, freelance, jetski, la cura, noche pasajera, private suite, UuU, roapr, ryan castro, karol, blessd, dakiti, fiel, bad bunny, Dei, BryantMyers, Hades66, Clarent, Mora, Omar Courtz, goddess omar courtz, omar courtz primera musa, de la rose, de la rose omar courtz, young Miko, luar, sahir, Eladio Carrion, Puerto Rico, trap, Lil JouJou, jovaan",41,https://i.ytimg.com/vi/ivX_Bule86Q/hqdefault.jpg,es,es,False,244,PT4M4S,hd,True,True,False,False,1968192,138829,7846
-05WmSAmLK4,PE,2026-09-19T04:54:00.703991+00:00,2026-09-17T13:00:27Z,Lanterns | Midseason Trailer | HBO Max,Lanterns | Midseason Trailer | HBO Max,HBO Max,UCx-KWLTKlB83hDI6UKECtJQ,24,Entertainment,"hbo max, hbo, hbo originals, hbo original series, hbo trailer, new on hbo, max, hbo max originals, hbo max trailer, hbo max teaser, hbo max series, hbo max youtube, lanterns, lanterns hbo, lanterns hbo max, hal jordan, john stewart, dcu, kyle chandler, aaron pierre, guy gardner, sinestro, nathan fillion, green lantern",24,https://i.ytimg.com/vi/-05WmSAmLK4/hqdefault.jpg,en,en,False,119,PT1M59S,hd,False,True,False,False,2559159,54630,3586
P7Cn5-7RaVg,PE,2026-09-19T04:54:00.704005+00:00,2026-09-17T18:10:27Z,Hicimos un CUARTO SECRETO para ESCONDERNOS de MERMELADA en Brookhaven Roblox,Hicimos un CUARTO SECRETO para ESCONDERNOS de MERMELADA en Brookhaven Roblox,Lyna,UC-cnbLlplnXA4oc7rR21qzg,20,Gaming,,0,https://i.ytimg.com/vi/P7Cn5-7RaVg/hqdefault.jpg,es-419,es-419,False,910,PT15M10S,hd,False,True,False,False,980868,8901,469
2-NkuLjtGNY,PE,2026-09-19T04:54:00.704014+00:00,2026-09-18T00:04:08Z,Maluma & Shakira - AGUA (Official Video),Maluma & Shakira - AGUA (Official Video),Maluma,UClZuKq2m0Qu-HkopkSBLpEw,10,Music,"Maluma 2026, Shakira 2026, Maluma Shakira, Maluma Shakira AGUA, Maluma, Shakira, AGUA Video Oficial, AGUA Lyrics, AGUA Letra, Maluma Shakira AGUA Letra, merengue, merengue urbano, Latin pop, música latina, Latin music, música tropical, música en español, Spanish music, nueva música, new music, new Latin music, Latin hits, Latin playlist, canción para bailar, música para bailar, dance Latin music, AGUA 2026, Shakira AGUA, Maluma AGUA",29,https://i.ytimg.com/vi/2-NkuLjtGNY/hqdefault.jpg,es,es,False,192,PT3M12S,hd,False,True,False,False,2520346,93823,6999
bcruCr_cQLg,PE,2026-09-19T04:54:00.704024+00:00,2026-09-17T22:22:58Z,Analizamos detalladamente el tráiler de StarCraft 2030,Analizamos detalladamente el tráiler de StarCraft 2030,Gamruf_ElPreservador,UCE60hQc_1CqAH0vO8il63Ng,20,Gaming,"starcraft, shooter, trailer, arg, análisis, secretos, lore, canon, preservador, holt, dominion, comunidad, anuncio, blizzcon, tps",15,https://i.ytimg.com/vi/bcruCr_cQLg/hqdefault.jpg,es,es-419,False,1352,PT22M32S,hd,False,True,False,False,14836,998,229
aU-SqMakPHQ,PE,2026-09-19T04:54:00.704033+00:00,2026-09-17T22:00:27Z,CADA SALTO ES UN ANIMAL MAS EPICO EN ROBLOX!🦖,CADA SALTO ES UN ANIMAL MAS EPICO EN ROBLOX!🦖,ElAbrahaham,UColTsB6zogXWooPbeO67Wgw,20,Gaming,"abrahahamflores, stream, entretenimiento, divertido, risa, gracioso, gamer, videojuegos, elabrahaham, copilacion, videos graciosos, antes vs ahora, mexico vs usa, abrahaham, directos, shorts, tiktoks, streams, twitch, reaccion, reacciones, roblox, brainrots, gameplays, random, terror, los bros, bros, bros roblox",29,https://i.ytimg.com/vi/aU-SqMakPHQ/hqdefault.jpg,es-MX,es-419,False,1562,PT26M2S,hd,False,True,False,False,827640,19675,1193
Lufa9QAFFeY,PE,2026-09-19T04:54:00.704042+00:00,2026-09-17T23:00:06Z,ROSÉ - new trick (OFFICIAL MUSIC VIDEO),ROSÉ - new trick (OFFICIAL MUSIC VIDEO),ROSÉ,UCBo1hnzxV9rz3WVsv__Rn1g,10,Music,"YG Entertainment, YG, 와이지, K-pop, BLACKPINK, 블랙핑크, 블핑, 로제, Rosé, BLINK, 블링크",11,https://i.ytimg.com/vi/Lufa9QAFFeY/hqdefault.jpg,en,ko,False,182,PT3M2S,hd,False,True,False,False,12714299,773104,59420
DmJLy3nunzM,PE,2026-09-19T04:54:00.704051+00:00,2026-09-17T13:00:00Z,BTS WORLD TOUR ‘ARIRANG’ LIVE VIEWING FROM BUENOS AIRES & SAO PAULO - Official Trailer,BTS WORLD TOUR ‘ARIRANG’ LIVE VIEWING FROM BUENOS AIRES & SAO PAULO - Official Trailer,BANGTANTV,UCLkAepWjdylmXSltofFvsYQ,10,Music,"방탄소년단, BTS, BANGTAN, 알엠, RM, 슈가, SUGA, 제이홉, jhope, 지민, 정국, k-pop, 방탄, j-hope, Jung Kook, Jimin, BTS V, Jin",18,https://i.ytimg.com/vi/DmJLy3nunzM/hqdefault.jpg,ko,ko,False,48,PT48S,hd,False,True,False,False,605428,69038,3930
Z_WgGHyEhBQ,PE,2026-09-19T04:54:00.704059+00:00,2026-09-17T19:15:15Z,Me Convertí en el REY LOBO ELEMENTAL en Minecraft!,Me Convertí en el REY LOBO ELEMENTAL en Minecraft!,Nacho,UC8EkcHOycB94lHDkbAPSnQA,20,Gaming,,0,https://i.ytimg.com/vi/Z_WgGHyEhBQ/hqdefault.jpg,es,es,False,1319,PT21M59S,hd,False,True,False,False,1637950,16146,339
kLNwlamNawY,PE,2026-09-19T04:54:00.704067+00:00,2026-09-18T00:00:08Z,ELLA | BLESSD ( VIDEO OFICIAL ),ELLA | BLESSD ( VIDEO OFICIAL ),SIEMPRE BLESSD 💙,UCb164jMdHd94O34bASFbI3Q,10,Music,"blessd, ella blessd, ella, bless, blessed, el bendito, musica de blessd, lo nuevo de blessd, blessed diomedes, ya llevo un mes estalqueandola a ella, es que en instagram se ve muy bella, blessd ella, siempre blessd, si sabe blessd",14,https://i.ytimg.com/vi/kLNwlamNawY/hqdefault.jpg,es,es-419,False,215,PT3M35S,hd,False,False,False,False,715352,44464,2248
