video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
swx07W7bbXM,UG,2026-03-13T03:14:10.683785+00:00,2026-02-09T17:00:06Z,John Blaq - Angela [Official Music Video] 4K,John Blaq - Angela [Official Music Video] 4K,John Blaq Music,UCG6wFeHQL7H1JjRA40OR8eQ,10,Music,"Eddy kenzo, Bobi wine, gloria bugie, swangz avenue, vinka, nandor love, comedy store ug, diamond platnumz, harmonize, an known, fik fameica, chozen becky, lgbt, galaxy tv, johnblaq, sheebah, spice diana, ugandan tiktok trending sound, vyrota, elijah kitaka, ray g, shake it to the max, maro, sandra naxx, alien skin, hiphop, tg billz, reason john blaq tg billz trending, CHANGES, kunsi vyroota, dance for the lord remix, sheebah karungi, angela john blaq, stay gael will",34,https://i.ytimg.com/vi/swx07W7bbXM/hqdefault.jpg,en,en,False,213,PT3M33S,hd,False,True,False,False,1335793,15892,957
NHk7scrb_9I,UG,2026-03-13T03:14:10.683992+00:00,2026-03-07T05:31:00Z,Dhurandhar The Revenge Official Hindi Trailer | Ranveer S | Aditya D | In Cinemas 19 March 2026,Dhurandhar The Revenge Official Hindi Trailer | Ranveer S | Aditya D | In Cinemas 19 March 2026,JioStudios,UCcXQd6kHKm0b41x8zMVMmMg,24,Entertainment,"Jio Studios, Jio Cinema, Jio Saavn, Jio TV, Dhurandhar, Aditya Dhar, Ranveer Singh, Sanjay Dutt, Akshaye Khanna, R. Madhavan, Arjun Rampal, Sara Arjun, Shashwat Sachdev, Revenge, Hindi Film Trailer, Hindi Film Teaser, Blockbuster Hindi Film, Dhurandhar 2 Teaser, Dhurandhar 2, Bollywood Film, T-Series, Dhurandhar The Revenge, March 19, Dhurandhar Trailer, Dhurandhar 2 Trailer, Dhurandhar The Revenge Trailer, Bollywood Trailer, Movie Trailer, Popular Movie Trailer",29,https://i.ytimg.com/vi/NHk7scrb_9I/hqdefault.jpg,en,en,False,206,PT3M26S,hd,True,False,False,False,51745828,1109018,56576
PprhohFccZU,UG,2026-03-13T03:14:10.684005+00:00,2026-02-25T09:57:00Z,"Iranian Defense Forces attacked US patrol vehicles and killed 5,000 combat troops","Iranian Defense Forces attacked US patrol vehicles and killed 5,000 combat troops",MILSIM NATO,UCXhY-8qaQJjSDQGmz3tsi2A,20,Gaming,"perang amerika, amerika, rusia, ukraina, israel, iran",6,https://i.ytimg.com/vi/PprhohFccZU/hqdefault.jpg,en,en,False,551,PT9M11S,hd,False,False,False,False,633612,2562,64
m73aIOhLxag,UG,2026-03-13T03:14:10.684015+00:00,2026-03-06T08:07:39Z,A Pass &  Kaboo - Buwooma (Official Music Video),A Pass &  Kaboo - Buwooma (Official Music Video),A Pass,UCGcayO7lMRcTjXcom48XdjA,10,Music,,0,https://i.ytimg.com/vi/m73aIOhLxag/hqdefault.jpg,en,en-US,False,176,PT2M56S,hd,False,False,False,False,116836,5142,757
vPMcEabBQEU,UG,2026-03-13T03:14:10.684023+00:00,2026-03-09T15:30:00Z,"XO, Kitty: Season 3 | Official Trailer | Netflix","XO, Kitty: Season 3 | Official Trailer | Netflix",Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Anna Cathcart, Being Abroad, Comedy, Coming of Age, Cute, Dating, Drama, First Love, High School, Humorous, Netflix, Quirky, Romance, Romantic, Season 3, Self-Discovery, Teen, Teen Angst, XO Kitty, XO Kitty Season 3",20,https://i.ytimg.com/vi/vPMcEabBQEU/hqdefault.jpg,en,en-US,False,131,PT2M11S,hd,True,True,False,False,2997687,115318,4347
vxVgtzt7MvQ,UG,2026-03-13T03:14:10.684031+00:00,2026-03-07T15:13:05Z,🔴 Mansfield Town vs Arsenal  - FA Cup 2025/2026 LIVE Score & FC26 Simulation,🔴 Mansfield Town vs Arsenal  - FA Cup 2025/2026 LIVE Score & FC26 Simulation,AFIZA FOOTBALL LIVE,UCm8mkMIoJ_-8hI1_93aY7Pw,20,Gaming,"mansfield town vs arsenal, mansfield town vs arsenal live, mansfield town vs arsenal simulation, mansfield town arsenal video game, fa cup game simulation, football video game live, soccer game simulation, virtual football match, football gameplay simulation, mansfield town gameplay, arsenal gameplay, fc25 simulation, pes football simulation, football game live stream, virtual fa cup, football esports simulation, soccer video game live, football game simulation match",18,https://i.ytimg.com/vi/vxVgtzt7MvQ/hqdefault.jpg,en,en,False,9840,PT2H44M,hd,False,True,False,False,62366,283,3
HGC_XLqoy8E,UG,2026-03-13T03:14:10.684040+00:00,2026-02-23T07:00:06Z,Acidic Vokoz Ft. Ava Peace - Tobingamba (Official Music Video),Acidic Vokoz Ft. Ava Peace - Tobingamba (Official Music Video),Acidic Vokoz,UC7Yazer9o-ObTJVWV83F9Pw,10,Music,"Tobingamba, Acidic vokoz ft Ava Peace, acidic vokoz and Ava Peace, akanyama by ava peace and Acidic Vokoz, acidic vokos songs, newly uploaded, now playing, official music video, ava peace songs, ava peace best music video, acidic vokoz mixtapes, ugandan latest music videos, music video, youtube trending chart, ava peace and acidic vokoz, recently uploaded",16,https://i.ytimg.com/vi/HGC_XLqoy8E/hqdefault.jpg,en,en,False,195,PT3M15S,hd,False,True,False,False,306241,4491,1452
XNQbH1SDPRk,UG,2026-03-13T03:14:10.684048+00:00,2026-03-05T17:00:58Z,The Boys – Final Season Trailer | Prime Video,The Boys – Final Season Trailer | Prime Video,Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys final season, the boys final season trailer, butcher vs soldier boy, butcher vs soldier boy rematch, homelander vs butcher, butcher vs homelander, soldier boy vs butcher, homelander and ryan, butcher vs hughie, hughie vs butcher, the boys final season trailer breakdown, the boys season 5 trailer breakdown, the boys season 5 theories",20,https://i.ytimg.com/vi/XNQbH1SDPRk/hqdefault.jpg,en,en,False,162,PT2M42S,hd,True,True,False,False,6159983,299992,12651
1di9m-4PTbI,UG,2026-03-13T03:14:10.684056+00:00,2026-03-10T17:15:06Z,Army Convoy Under Heavy Air Attack – GTA 5 Simulation Gameplay,Army Convoy Under Heavy Air Attack – GTA 5 Simulation Gameplay,Game Loverz,UC3in-Eqv6MXSiwpMeylvtAg,20,Gaming,"gta 5, gta v, gta, gta 6, gta 4, gta vi, gta 5 pakistan, gta 5 uk, gta 5 usa, gta 5 president, president Protocol, gta 5 protocol, gta 5 hindi, gta 5 india, vip protocol, gta 5 convoy, prime minister, president, army protocol, gta 5 michael, gta 5 franklin, gta 5 trevor, gta 5 attack, gta 5 pc, attack on president, attack on michale, affan gaming, game loverz",28,https://i.ytimg.com/vi/1di9m-4PTbI/hqdefault.jpg,en,en-GB,False,29894,PT8H18M14S,hd,False,True,False,False,958338,2114,1
ANXKGWaGV28,UG,2026-03-13T03:14:10.684064+00:00,2026-02-14T08:11:33Z,Da-Re - Sheebah (Valentine Visualizer),Da-Re - Sheebah (Valentine Visualizer),Sheebah ,UCURlXQyzG15s9i7_nMdRE5Q,10,Music,"Sheebah Kalungi, New Ugandan Music, Music Videos, New, HD, Video",6,https://i.ytimg.com/vi/ANXKGWaGV28/hqdefault.jpg,en,en,False,161,PT2M41S,hd,False,True,False,False,438608,14295,1555
yEjlTxeN1So,UG,2026-03-13T03:14:10.684071+00:00,2026-03-08T11:23:22Z,ERICA MOVIE TRAILER FEATURING MAMA G,ERICA MOVIE TRAILER FEATURING MAMA G,Life Is Spiritual,UCqi1AZ3ICFhDShnKbz2e36g,27,Education,,0,https://i.ytimg.com/vi/yEjlTxeN1So/hqdefault.jpg,en,en,False,205,PT3M25S,hd,False,True,False,False,37958,2413,386
