video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
KfondJcGI3I,GT,2025-12-27 02:26:36.796900+00:00,2025-12-26 05:03:20+00:00,bckpckbyz,bckpckbyz,Peso Pluma - Topic,UCzmabbKsmXlWnI9N2kKQ4lA,10,Music,"Peso Pluma, Tito Double P, Hassan Emilio Kabande Laija, Jesús Roberto Laija García, DINASTÍA, bckpckbyz",6,https://i.ytimg.com/vi/KfondJcGI3I/hqdefault.jpg,es,es,False,224,PT3M44S,hd,False,True,,,1024017,55257,3059
ZY_vjZ0fHxw,GT,2025-12-27 02:26:36.796929+00:00,2025-12-23 18:10:55+00:00,POR FIN trailer Avengers Doomsday de Capitán América en HD explicado,POR FIN trailer Avengers Doomsday de Capitán América en HD explicado,Pelicomic,UCsMzBY3X_RS6GhGBiHXW19A,24,Entertainment,,0,https://i.ytimg.com/vi/ZY_vjZ0fHxw/hqdefault.jpg,es,es-419,False,876,PT14M36S,hd,False,True,,,303535,16555,993
al817qPtIK0,GT,2025-12-27 02:26:36.796940+00:00,2025-12-26 19:44:48+00:00,Minecraft pero los CRAFTEOS dan ARMAS!,Minecraft pero los CRAFTEOS dan ARMAS!,Dagar,UCEs5MQjXJq27-X2vgdwtYDw,20,Gaming,"Minecraft, minecraft mod, dagar y nacho, nacho y dagar, amigos minecraft, dagar minecraft, minecraft dagar",7,https://i.ytimg.com/vi/al817qPtIK0/hqdefault.jpg,es,es-ES,False,1867,PT31M7S,hd,False,True,,,363621,6650,1501
imfr5Px5D54,GT,2025-12-27 02:26:36.796949+00:00,2025-12-27 00:00:54+00:00,J BALVIN || BZRP Music Sessions #62/66,J BALVIN || BZRP Music Sessions #62/66,Bizarrap,UCmS75G-98QihSusY7NfCZtw,24,Entertainment,"bizarrap, biza, bisa, bizzarrap, bzrp, bzrp music sessions, trap, musica latina, argentina, méxico, españa, hip hop, rap, biza session, reggaeton, music session, USA, latin music, el biza, gonzalo, bizarraaap, 66, 62, j balcin, jbalvin, balvin, la que me olvido, lego, for fun, pa divertirme, residente, colombia, bad bunny balvin, el biza la soltó, España, puerto rico, J BALVIN || BZRP Music Sessions #62/66, la 62 de biza, vallenato, jose balvin",40,https://i.ytimg.com/vi/imfr5Px5D54/hqdefault.jpg,es,es,False,197,PT3M17S,hd,True,True,,,759046,170370,18350
DOSP4JSnOGM,GT,2025-12-27 02:26:36.796958+00:00,2025-12-24 00:16:55+00:00,el último Trailer Oficial de Avengers Doomsday explica lo que pasó con Doctor Doom y Tony Stark?,el último Trailer Oficial de Avengers Doomsday explica lo que pasó con Doctor Doom y Tony Stark?,Somos Geeks,UCaTeVotuSxWGGt9Et3zBpiw,1,Film & Animation,"TheGeeks, Marvel, DC",3,https://i.ytimg.com/vi/DOSP4JSnOGM/hqdefault.jpg,es,es-419,False,1095,PT18M15S,hd,False,True,,,298417,8890,1921
o8BwOaA1wGk,GT,2025-12-27 02:26:36.796966+00:00,2025-12-26 18:00:55+00:00,CONSIGUIENDO EL DRAGON CANELONI DE GALLETA DE ROBA UN BRAINROT!🐉,CONSIGUIENDO EL DRAGON CANELONI DE GALLETA DE ROBA UN BRAINROT!🐉,ElAbrahaham,UColTsB6zogXWooPbeO67Wgw,20,Gaming,"abrahahamflores, stream, entretenimiento, divertido, risa, gracioso, gamer, videojuegos, elabrahaham, copilacion, videos graciosos, antes vs ahora, mexico vs usa, abrahaham, directos, shorts, tiktoks, streams, twitch, reaccion, reacciones",21,https://i.ytimg.com/vi/o8BwOaA1wGk/hqdefault.jpg,es-MX,es-419,False,1430,PT23M50S,hd,False,True,,,539143,15934,3029
4l_EBIEdluM,GT,2025-12-27 02:26:36.796974+00:00,2025-12-19 16:30:02+00:00,Banda Tierra Sagrada - La Buena y La Mala (Letra/Lyrics),Banda Tierra Sagrada - La Buena y La Mala (Letra/Lyrics),Vision Mexicana,UCM3YU4VTXulk0wyMuHdeZ2Q,10,Music,"banda tierra sagrada la buena y la mala, banda tierra sagrada la buena y la mala letra, banda tierra sagrada la buena y la mala lyrics, banda tierra sagrada letra la buena y la mala, banda tierra sagrada lyrics la buena y la mala, letra banda tierra sagrada la buena y la mala, lyrics banda tierra sagrada la buena y la mala, la buena y la mala banda tierra sagrada, la buena y la mala letra, banda tierra sagrada, la buena y la mala lyrics, la buena y la mala, vision mexicana",13,https://i.ytimg.com/vi/4l_EBIEdluM/hqdefault.jpg,es,es,False,205,PT3M25S,hd,False,True,,,47912,102,0
4h3i9_t4n8E,GT,2025-12-27 02:26:36.796982+00:00,2025-12-23 14:17:05+00:00,AVENGERS: DOOMSDAY Teaser Tráiler (2026),AVENGERS: DOOMSDAY Teaser Tráiler (2026),ONE Media Español,UCcVNDl7ZJMf9lC9a34CY4RA,1,Film & Animation,"Tráiler, Película, Español, Latino, 2025, Avengers Doomsday, Avengers Doomsday Tráiler, Captain America, Chris Evans, Marvel, Avengers 5",11,https://i.ytimg.com/vi/4h3i9_t4n8E/hqdefault.jpg,es,es,False,101,PT1M41S,hd,False,True,,,326485,14944,1143
yrh9fdwEbJI,GT,2025-12-27 02:26:36.796989+00:00,2025-12-26 19:01:04+00:00,La mejor carta por cada año de Clash Royale,La mejor carta por cada año de Clash Royale,Gallet,UClKwHS2zflLheZFYEjN9sOg,20,Gaming,"clash royale, big brain, beniju, season, tiktok, tik tok, gallet, gallett, Clash Royale, Clash Royale Español, BENIJU, subir copas, guia de mazos, mejores mazos, god, withzack, beniyu, benju, team queso, clash royal, clas hroyale, evolucion, evoluciones, clash royale evoluciones, cartas torre, nuevo campeon, campeon, principito, nuevo hechizo, logbait, tronco, el jugador mas odiado de clash royale, beniju reacciona gallet, beniju reacciona, ejercito de esqueletos, evo ejercito de esqueletos",36,https://i.ytimg.com/vi/yrh9fdwEbJI/hqdefault.jpg,es,es,False,1565,PT26M5S,hd,False,True,,,311833,50049,2848
Ad1PXxKy8JA,GT,2025-12-27 02:26:36.796998+00:00,2025-12-20 22:45:01+00:00,Romeo Santos - Amigo (Letra),Romeo Santos - Amigo (Letra),SabroSón,UCz-jVF7_acwSvt30vGJRTOw,10,Music,"Romeo Santos, Amigo, Amigo letra, Romeo Santos letra, bachata, bachata romantica, bachata 2025, musica latina, musica romantica, desamor, traicion, bachata triste, bachata dolor, bachata hits, romeo santos exitos, aventura, video lyric, lyric video, letra oficial, musica viral, musica para dedicar, amor y desamor, tropical music, latin music, romeo santos 2025, amigo romeo santos letra, cancion de infiel, infiel",28,https://i.ytimg.com/vi/Ad1PXxKy8JA/hqdefault.jpg,es,es,False,232,PT3M52S,hd,False,True,,,32696,51,0
