video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
ADc9JPeLYi4,BH,2026-04-19T03:54:56.244838+00:00,2026-04-16T12:34:06Z,TEDDY AFRO  - ዳስ ጣል (አንሳው)  - Das Tal (Ansaw) | Track 1 (Official Lyrics Video),TEDDY AFRO  - ዳስ ጣል (አንሳው)  - Das Tal (Ansaw) | Track 1 (Official Lyrics Video),Teddy Afro,UCydlocDyvRtFmMffKytKqgQ,10,Music,,0,https://i.ytimg.com/vi/ADc9JPeLYi4/hqdefault.jpg,am,und,False,439,PT7M19S,hd,False,True,False,False,9255919,254883,50834
_IDEdwiKVFI,BH,2026-04-19T03:54:56.244885+00:00,2026-04-15T05:37:01Z,Kattalan Trailer(Mal)-Cubes | Pepe | Shareef Muhammed | Paul |Ravi Basrur | Dushara | Sunil | Kabir,Kattalan Trailer(Mal)-Cubes | Pepe | Shareef Muhammed | Paul |Ravi Basrur | Dushara | Sunil | Kabir,Cubes Entertainments,UCbRgEqQU9mvjVBA8Ml8RjzA,1,Film & Animation,"kattalan, kataalan, antony pepe, cubes interantional, kattalan bgm, pepe kattalan, kattalan song, kattalan pepe, kattalan cast, kattalan crew, kattalan songs, hanan kattalan, kattalan teaser, kattalan review, kattalan shorts, kattalan speech, kattalan trailer, kattalan glimpse, kattalan updates, kattalan reviews, kattalan movie bgm, kattalan pepe movie, kattalan movie song, kattalan first look, kattalan hindi song, kattalan new poster",26,https://i.ytimg.com/vi/_IDEdwiKVFI/hqdefault.jpg,en-IN,ml,False,132,PT2M12S,hd,True,True,False,False,1641595,49306,3046
7B0-WJ5QYsc,BH,2026-04-19T03:54:56.244898+00:00,2026-04-18T15:00:06Z,Brawl Talk: 3 NEW Brawlers!,Brawl Talk: 3 NEW Brawlers!,Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,20,Gaming,"brawl stars, mobile game, mobile strategy game, mobile rpg, mobile battle royale, battle royale, supercell game, 3 new brawlers, new brawlers, brawl talk",10,https://i.ytimg.com/vi/7B0-WJ5QYsc/hqdefault.jpg,en,en,False,666,PT11M6S,hd,True,True,False,False,6162403,318509,28145
27QmkvKQLDk,BH,2026-04-19T03:54:56.244908+00:00,2026-04-13T12:30:08Z,Ada Bommale - Video Song | Vaazha 2 | Rzee | Ankit Menon | Vipin Das | Savin Sa | Hashir,Ada Bommale - Video Song | Vaazha 2 | Rzee | Ankit Menon | Vipin Das | Savin Sa | Hashir,Think Music India,UCLbdVvreihwZRL6kwuEUYsA,10,Music,"Ada Bommale, Vaazha2, Vaazha2songs, Vaazha2biopicofbillionbros, Vipin Das, hashir, Savin Sa, Vaazha, Vaazha 2026 songs, ada bommale video song, adabomale, ada bomale, ada bommale song, rzee new song, malayalam new songs, 2026 malayalam songs, rzee songs, vaazha2songs, vaazha 2 songs, new malayalam movie songs, vaazha, vazha, vazha2songs, new malayam song, new malayalam movie, new malaylam song",26,https://i.ytimg.com/vi/27QmkvKQLDk/hqdefault.jpg,en,ml,False,186,PT3M6S,hd,False,True,False,False,4313857,58646,1428
UySn8Dtj304,BH,2026-04-19T03:54:56.244917+00:00,2026-04-15T05:42:06Z,VARAVU - Teaser | Joju George | Arjun Ashokan | Shaji Kailas | Olga Productions,VARAVU - Teaser | Joju George | Arjun Ashokan | Shaji Kailas | Olga Productions,Olga Productions,UCsMI9v2mpOhoHx9QYozz1FQ,1,Film & Animation,,0,https://i.ytimg.com/vi/UySn8Dtj304/hqdefault.jpg,en,ml,False,44,PT44S,hd,True,False,False,False,1060330,12455,687
qnXKG_p2krs,BH,2026-04-19T03:54:56.244926+00:00,2026-04-18T11:16:34Z,فاجئت المتابعين باندر الاكي روت في ماب السرقة 🔥😈 (سيكرت جديد) !!,فاجئت المتابعين باندر الاكي روت في ماب السرقة 🔥😈 (سيكرت جديد) !!,SPIDER GAMER,UC_9GZ-5Wz5rjkWg4HAkWg_g,20,Gaming,"فورت نايت, فورتنايت, العاب, سيت اب, قيمز, سبايدر, سبايدر قيمر, دونويشن, دونيشن, دعم, تويتش, افضل, SPIDER, SPIDER GAMER, اخو, اخ, جلد, ضحك, فورت نايت رقم قياسي, 100 دولار, HMX, SPI, تسريب فورتنايت, فرتنايت, بث سبايدر, فورت نايت التحديث الجديد, تسريبات فورت نايت, فورت نايت السيزون الجديد, باور, 100 زر, تحدي 24 ساعة, تحديات, شابتر 4, الشابتر الرابع, قلتش, قلتشات",36,https://i.ytimg.com/vi/qnXKG_p2krs/hqdefault.jpg,ar,ar,False,830,PT13M50S,hd,False,True,False,False,234800,10545,359
tg17e-T4rwA,BH,2026-04-19T03:54:56.244935+00:00,2026-04-09T20:14:23Z,بَلى | الحاج باسم الكربلائي,بَلى | الحاج باسم الكربلائي,Basim Karbalaei / باسم الكربلائي,UCLlMiPx_v5jFahvImDu_EFQ,10,Music,"بَلى, باسم الكربلائي, Basim Karbalaei, شهادة الإمام الصادق, الإمام جعفر الصادق, جعفرالصادق, الفاضل, الطاهر, الصادق, أبو عبد اللَّه, أبو إسماعيل, المذهب الجعفري, شيعة, إسلام, أهل البيت, رسول الله, الإمام علي, السيدة فاطمة, الإمام الحسن, الإمام الحسين, 25 شوال, شوال, بقيع, عزاء, لطم, ندب, لطميات, ندبيات, إحياء, إحياءات, قرايات, شعر, قصيدة, رادود, رواديد, محرم1445, بيات ديجيتال, bayat digital",38,https://i.ytimg.com/vi/tg17e-T4rwA/hqdefault.jpg,ar,ar,False,526,PT8M46S,hd,False,True,False,False,579780,35751,2886
AjFk1cY265I,BH,2026-04-19T03:54:56.244944+00:00,2026-04-10T16:29:45Z,Digital Circus Ep 9 Finale [TRAILER],Digital Circus Ep 9 Finale [TRAILER],GLITCH,UCn_FAXem2-e3HQvmK-mOH4g,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",19,https://i.ytimg.com/vi/AjFk1cY265I/hqdefault.jpg,en,en,False,70,PT1M10S,hd,True,True,False,False,23033034,1530053,109228
8UPzqxnh63k,BH,2026-04-19T03:54:56.244952+00:00,2026-04-18T11:00:11Z,انفجر حظنا انا ونواف بحدث الادمن 😍🔥 ( رسبن ….. ) !! steal a brainrot,انفجر حظنا انا ونواف بحدث الادمن 😍🔥 ( رسبن ….. ) !! steal a brainrot,Hamza I حمزة ,UCj8z8d3XHXvat5_2--8-VGw,20,Gaming,"حمزة, حمزة اخو سبايدر, اخو سبايدر, سبايدر اخي, حمزة سبايدر, سبايدر حمزة, فورت نايت, فورتنايت, قلتش, اقوى لاعب, لاعب, عربي, باور, تحديات, تحدي, سر, اسرار, قلتشات, تجربة, سيزون, فورت القديمة, سيزون فورت نايت, سيزون جديد, موسم جديد, سونك, اخ سبايدر",26,https://i.ytimg.com/vi/8UPzqxnh63k/hqdefault.jpg,ar,ar,False,1077,PT17M57S,hd,False,True,False,False,153297,6014,172
7F1ET2XHQfk,BH,2026-04-19T03:54:56.244961+00:00,2026-04-09T15:59:07Z,"KATSEYE (캣츠아이) ""PINKY UP"" Official MV","KATSEYE (캣츠아이) ""PINKY UP"" Official MV",HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,10,Music,"HYBE, HYBE LABELS, 하이브, 하이브레이블즈",4,https://i.ytimg.com/vi/7F1ET2XHQfk/hqdefault.jpg,ko,ko,False,182,PT3M2S,hd,True,False,False,False,20074117,823961,141015
