video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
zH1YCmBiCE8,GR,2026-07-31T04:00:31.125881+00:00,2026-07-22T12:00:06Z,Νίκος Οικονομόπουλος – Ένοχο Κορμί | Official Music Video (4K),Νίκος Οικονομόπουλος – Ένοχο Κορμί | Official Music Video (4K),Νίκος Οικονομόπουλος Official YouTube Channel,UClO0RfbC7SKAw4c18eFa_xg,10,Music,"Nikos ikonomopoulos, νικος οικονομοπουλοσ, nikos oikonomopoyloys, enoxo kormi, enoxw kormi, eisitirio Ena, stixoi Enoho Kormi, στιχοι Ένοχο Κορμί, lyrics Enoho Kormi, video clip oikonomopoulos, music video oikonomopoulos, I Apofasi, Opou Ki An Pas, Kati Kano Lathos, Ena Savvato Vradi, Argisa, Isitirio Ena, Me Liga Logia, στιχοι Η Απόφαση, Kataggelw to kormi sou enoxo, katadikasmeno ine gia na prokali, to mialo mou xanei kathe elegxo, kai I zilia exi gini fili mou kali",23,https://i.ytimg.com/vi/zH1YCmBiCE8/hqdefault.jpg,el,el,False,224,PT3M44S,hd,False,True,False,False,309174,4760,250
irVNGjRFZGk,GR,2026-07-31T04:00:31.125924+00:00,2026-07-20T13:00:20Z,Avengers: Doomsday | Official Trailer | In Theaters December 18,Avengers: Doomsday | Official Trailer | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/irVNGjRFZGk/hqdefault.jpg,en,en,False,146,PT2M26S,hd,True,True,False,False,54227669,2464851,187293
_a6FPnMflIc,GR,2026-07-31T04:00:31.125933+00:00,2026-07-25T11:30:33Z,Το Hοrrοr Παιχνίδι Που Σε Παίρνει Τηλέφωνο!,Το Hοrrοr Παιχνίδι Που Σε Παίρνει Τηλέφωνο!,Unboxholics,UCjBCvQBVTh4XjPwtSMQNcFg,24,Entertainment,"unboxholics, unbox, unboxing, unboxholics live, unboxholics horror night, unboxed, technology, gaming, tech, cinema, entertainment, θνβοχηολιψσ, unboxholics highlights, karpas, καρπας, σακης καρπας, αλεκος καρπας, σακης αλεκος καρπας, sakis karpas, alekos karpas",20,https://i.ytimg.com/vi/_a6FPnMflIc/hqdefault.jpg,el,el,False,11704,PT3H15M4S,hd,False,True,False,False,222037,8775,312
m7k9UMcHbr0,GR,2026-07-31T04:00:31.125942+00:00,2026-07-24T03:59:06Z,"KATSEYE (캣츠아이) ""Animal"" Official MV","KATSEYE (캣츠아이) ""Animal"" Official MV",HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,10,Music,"HYBE, HYBE LABELS, 하이브, 하이브레이블즈",4,https://i.ytimg.com/vi/m7k9UMcHbr0/hqdefault.jpg,ko,ko,False,191,PT3M11S,hd,True,False,False,False,25258516,1201273,122009
WYxLGQSNyqE,GR,2026-07-31T04:00:31.125948+00:00,2026-07-27T10:13:15Z,ΣΟΥΕΛ | ΟFFICIAL TRAILER,ΣΟΥΕΛ | ΟFFICIAL TRAILER,Tanweer,UClfyuGVSDym4HoaKBIYVN-w,1,Film & Animation,,0,https://i.ytimg.com/vi/WYxLGQSNyqE/hqdefault.jpg,el,el,False,80,PT1M20S,hd,False,False,False,False,18106,438,19
IObWIZfPuFE,GR,2026-07-31T04:00:31.125974+00:00,2026-07-29T12:00:09Z,ΜΗΝ ΕΜΠΙΣΤΕΥΕΣΑΙ ΑΥΤΟ ΤΟ VERITY ΣΤΟ ROBLOX ...,ΜΗΝ ΕΜΠΙΣΤΕΥΕΣΑΙ ΑΥΤΟ ΤΟ VERITY ΣΤΟ ROBLOX ...,Gunzar,UCLk_on12RSyA7OAAnmV5S3g,20,Gaming,"gunzar, guenzar, ganzar, γανζαρ, γθενζαρ, γθνζαρ, γρεεκ, κρις, chris, ROBLOX, ROBLOX GR, GUNZAR ROBLOX, GANZAR ROBLOX, BRAINROT, ITALIAN BRAINROT ROBLOX, ROBLOX TUN TUN TUN, ΑΥΤΟ ΕΙΝΑΙ ΤΟ ΠΙΟ ΕΥΚΟΛΟ ΠΑΙΧΝΙΔΙ ΣΤΟ ROBLOX, ΚΕΡΔΙΖΩ ΤΟ ΠΙΟ ΕΥΚΟΛΟ ΠΑΙΧΝΙΔΙ ΣΤΟ ROBLOX, γκρου α γκαρτεν, grow a garden, grow a garden gr, squid games, squid games greek, roblox squid game, 99 days in forest, 99 days in forest roblox, roblox 99 days in forest gr, greek 99 days in forest, TIPS, STEAL A BRAINROT",30,https://i.ytimg.com/vi/IObWIZfPuFE/hqdefault.jpg,el,el,False,1089,PT18M9S,hd,False,True,False,False,68607,2359,283
j3N4lwtR11U,GR,2026-07-31T04:00:31.125983+00:00,2026-07-27T13:00:06Z,RACK - PALOMA (Official Music Video),RACK - PALOMA (Official Music Video),Barcode Entertainment,UC0hpVrTGDScpXR16lWbgg6w,10,Music,"rack, oge, superstar, rack menju, menju, paloma, zuma, rack zuma, rack paloma",9,https://i.ytimg.com/vi/j3N4lwtR11U/hqdefault.jpg,en,el,False,213,PT3M33S,hd,False,True,False,False,96198,4422,322
IhJvBKe_DMo,GR,2026-07-31T04:00:31.125990+00:00,2026-07-29T17:47:01Z,Μπλε Ώρες | Trailer | Έρχεται στο Νέο Πρόγραμμα του ΣΚΑΪ,Μπλε Ώρες | Trailer | Έρχεται στο Νέο Πρόγραμμα του ΣΚΑΪ,SKAI.gr,UCmHgxU394HiIAsN1fMegqzw,25,News & Politics,,0,https://i.ytimg.com/vi/IhJvBKe_DMo/hqdefault.jpg,el,el,False,124,PT2M4S,hd,False,True,False,False,11033,179,0
_o-V43PNhEY,GR,2026-07-31T04:00:31.125996+00:00,2026-07-27T12:00:21Z,ΜΕ ΚΥΝΗΓΑΕΙ ΕΝΑ ΡΟΜΠΟΤ ΣΤΟ ROBLOX!😱,ΜΕ ΚΥΝΗΓΑΕΙ ΕΝΑ ΡΟΜΠΟΤ ΣΤΟ ROBLOX!😱,Pavl0s,UCA-WVp02vlaKRyG-4HRqPgw,24,Entertainment,"Pavls roblox, pavlos makris roblox, pavl0s, pavlos papa pizza, roblox greek, roblox obby, funny roblox",7,https://i.ytimg.com/vi/_o-V43PNhEY/hqdefault.jpg,el,el,False,761,PT12M41S,hd,False,True,False,False,91404,2239,153
-5Yhi8VD--Q,GR,2026-07-31T04:00:31.126003+00:00,2026-07-23T11:00:09Z,"HGEMONA$, LEX, BTK 187 - EURO (Official Music Video)","HGEMONA$, LEX, BTK 187 - EURO (Official Music Video)",HGEMONA$,UCZOcoDbPIiO28gZEtdLsNMA,10,Music,"DopeSport3, Dope Sport Vol 3, HGEMONAS, HGEMONAS Dope Sport 3, hgemonas dope sport vol 3, ηγεμονας dope sport 3, mad house records, btk 187, euro, lex, lex hgemonas, hgemonas lex, hgemonas lex euro, euro lex hgemonas, ηγεμονας λεξ, ηγεμονας euro",16,https://i.ytimg.com/vi/-5Yhi8VD--Q/hqdefault.jpg,en,en-US,False,224,PT3M44S,hd,False,False,False,False,91222,3508,169
