video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
2LUiO-yucgA,MA,2025-12-23 02:29:14.921814+00:00,2025-12-21 19:07:37+00:00,Hkayne & Muslim & Dizzy DROS & chaimae abdelaziz -  ACHKID l Produced by RedOne,Hkayne & Muslim & Dizzy DROS & chaimae abdelaziz -  ACHKID l Produced by RedOne,RedOne,UCMwDdAvIP0MVuqENDpME0xg,10,Music,"RedOne, CAN 2025, CUP AFRICA, DIZZY DROS, MUSLIM, HKAYNE, HCHKID, MUSIC VIDEO, aghani kass africa, aghani, morocco",11,https://i.ytimg.com/vi/2LUiO-yucgA/hqdefault.jpg,en,ar,False,290,PT4M50S,hd,False,False,False,False,1030051,34648,2415
Mzw2ttJD2qQ,MA,2025-12-23 02:29:14.921857+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,True,True,False,False,8042655,294333,18424
crf9oXiDMyM,MA,2025-12-23 02:29:14.921869+00:00,2025-12-21 21:56:50+00:00,🔴مباشر: المغرب ضد جزر القمر | لعبة محاكاة كرة القدم الإلكترونية بيس 21 على الكمبيوتر,🔴مباشر: المغرب ضد جزر القمر | لعبة محاكاة كرة القدم الإلكترونية بيس 21 على الكمبيوتر,KYRGYZ PUBG,UCmgLrmSvU8lVTrKRd1OgZ7Q,20,Gaming,,0,https://i.ytimg.com/vi/crf9oXiDMyM/hqdefault.jpg,en,ar,False,189,PT3M9S,hd,False,True,False,False,2540813,7954,5
KxDAPumonD4,MA,2025-12-23 02:29:14.921878+00:00,2025-12-20 17:03:26+00:00,BOOMX3 (Prod. by Daweee & Papakri),BOOMX3 (Prod. by Daweee & Papakri),ElGrandeToto,UCVG705xosVltZb52R0hHr_g,10,Music,"Elgrandetoto, elgrandetoto Pablo, elgrandetoto freestyle, rap francais, elgrandetoto 7elmetado, راب مغربي, Salgoat, Boomx3, CAN, #Bouyon",10,https://i.ytimg.com/vi/KxDAPumonD4/hqdefault.jpg,en,ar,False,198,PT3M18S,hd,False,True,False,False,451872,22997,1921
9VPSFxU-Jq8,MA,2025-12-23 02:29:14.921887+00:00,2025-12-21 14:53:33+00:00,Speed does Africa 🌍 (Official Trailer),Speed does Africa 🌍 (Official Trailer),IShowSpeed,UCWsDFcIhY2DBi3GB5uykGXA,20,Gaming,ishowspeed,1,https://i.ytimg.com/vi/9VPSFxU-Jq8/hqdefault.jpg,en,en,False,77,PT1M17S,hd,False,True,False,False,1257008,87915,14573
sWOVI-pIkFM,MA,2025-12-23 02:29:14.921894+00:00,2025-12-21 22:15:20+00:00,🎮 محاكاة مباراة المغرب ضد جزر القمر اليوم | كأس إفريقيا 2025 | PES 2021 Gameplay prediction ,🎮 محاكاة مباراة المغرب ضد جزر القمر اليوم | كأس إفريقيا 2025 | PES 2021 Gameplay prediction ,BUZZ TUBE,UCCjZ0Lp49PgvimSNEW8s7Ug,20,Gaming,,0,https://i.ytimg.com/vi/sWOVI-pIkFM/hqdefault.jpg,ar,ar,False,179,PT2M59S,hd,False,True,False,False,2419821,7183,2
kasxZhLuNW0,MA,2025-12-23 02:29:14.921902+00:00,2025-12-21 18:41:56+00:00,Le Show,Le Show,Release - Topic,UCqZ-O7eIDUxqcRoc7HpcE3g,10,Music,"Ayra Starr, Davido, French Montana, A.W.A.M., Le Show",5,https://i.ytimg.com/vi/kasxZhLuNW0/hqdefault.jpg,en,pa,False,217,PT3M37S,hd,False,True,False,False,39030,1474,0
BwdMT-OiARI,MA,2025-12-23 02:29:14.921910+00:00,2025-12-21 06:45:01+00:00,Black Clover Second Season | Official Trailer 2 | Crunchyroll,Black Clover Second Season | Official Trailer 2 | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"black clover, black clover anime, black clover season 2, black clover s2, black clover second season, crunchyroll, anime, anime trailer, anime preview",9,https://i.ytimg.com/vi/BwdMT-OiARI/hqdefault.jpg,en,ja,False,110,PT1M50S,hd,False,True,False,False,2336596,188437,10393
DOSDmrSKAcU,MA,2025-12-23 02:29:14.921918+00:00,2025-12-21 22:29:59+00:00,مباراة المغرب ضد جزر القمر | محاكاة مباراة كأس الأمم الإفريقية 2025 | أسلوب لعب eFootball PES 21,مباراة المغرب ضد جزر القمر | محاكاة مباراة كأس الأمم الإفريقية 2025 | أسلوب لعب eFootball PES 21,Astra Football,UCWMS19xlGSNULdXERktZvAw,20,Gaming,,0,https://i.ytimg.com/vi/DOSDmrSKAcU/hqdefault.jpg,en-IN,en-IN,False,13040,PT3H37M20S,hd,False,True,False,False,1157587,3902,3
4yTCvauxeIE,MA,2025-12-23 02:29:14.921925+00:00,2025-12-18 10:01:43+00:00,Africallez,Africallez,Release - Topic,UCVo1mG4cm1BIoSXW18FW9ng,10,Music,"Lartiste, Jaylann, Angélique Kidjo, Africallez",4,https://i.ytimg.com/vi/4yTCvauxeIE/hqdefault.jpg,en,und,False,179,PT2M59S,hd,False,True,False,False,32781,1038,0
