video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
GuPhSLBYOeg,DK,2026-03-20T03:15:44.928526+00:00,2026-03-17T15:00:02Z,BTS (방탄소년단) ‘SWIM’ Official Teaser 1,BTS (방탄소년단) ‘SWIM’ Official Teaser 1,HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,10,Music,"HYBE, HYBE LABELS, 하이브, 하이브레이블즈",4,https://i.ytimg.com/vi/GuPhSLBYOeg/hqdefault.jpg,ko,ko,False,17,PT17S,hd,False,True,False,False,6055907,1130102,109919
3_9vCamtuPY,DK,2026-03-20T03:15:44.928565+00:00,2026-03-17T16:19:02Z,Dune: Part Three | Official Teaser Trailer,Dune: Part Three | Official Teaser Trailer,Warner Bros.,UCjmJDM5pRKbUlVIzDYYWb6g,1,Film & Animation,"Action, Anya Taylor-Joy, Brian K Vaughan, Charlotte Rampling, Coming Soon, Denis Villeneuve, Dune, Dune Messiah, Dune: Part Three, Florence Pugh, Ida Brooke, Isaach De Bankolé, Jason Momoa, Javier Bardem, Messiah, Nakoa-Wolf Momoa, Rebecca Ferguson, Robert Pattinson, Sci Fi, Timothée Chalamet, Trilogy, Warner Bros, Zendaya",23,https://i.ytimg.com/vi/3_9vCamtuPY/hqdefault.jpg,en,en-US,False,150,PT2M30S,hd,True,False,False,False,16251664,525090,25508
eHrPl0vVdN0,DK,2026-03-20T03:15:44.928579+00:00,2026-03-17T15:35:41Z,DENIZ1418 & MADS FRANDSEN VS JON & BELO OM 100.000KR I DANMARKS STØRSTE 2V2 FIFA TURNERING,DENIZ1418 & MADS FRANDSEN VS JON & BELO OM 100.000KR I DANMARKS STØRSTE 2V2 FIFA TURNERING,CREW,UCnA42NCw2cQfXLpfPIG5tOA,24,Entertainment,"2v2 fifa turnering, vejregang fifa danmark, sønderaard fifa, wendelbo, wendel fifa, hav & kamal, jimilian, skinz, danser med piger, fjæstid, crew fifa, frommerjoe, lucas christiansen, nicolai spillet, red bull fifa turnering, HÅB, david minerba, loke lund, omar aarhus, mads frandsen, deniz 1418, jeppe ølaard, madsen gaming fifa, mads gotlieb, youtubere fifa, jon og drøger, jasseminho, fouli fifa, fouli danmark, topgunn, mika fifa, jas og mika, dansk youtube gaming, søndergaard",34,https://i.ytimg.com/vi/eHrPl0vVdN0/hqdefault.jpg,da,da,False,1313,PT21M53S,hd,False,True,False,False,57768,3536,79
Bd7nWM0MvLI,DK,2026-03-20T03:15:44.928589+00:00,2026-03-11T07:00:11Z,Around the World (La La La La La) / My Heart Beats Like A Drum (Dum Dum Dum) (Kinder - Wet...,Around the World (La La La La La) / My Heart Beats Like A Drum (Dum Dum Dum) (Kinder - Wet...,ATouchOfClassVEVO,UC53ouyDEBgZORru3LdPhqjg,10,Music,"atc fernsehgarten, atc zdf touch of class, international pop, pop deutschpop, ATC, ATouchofClass, around the world (lalalalala), set me free, Why oh why, my heart beats like drum, togehter, secret world, so magical, until, give me your life, set me free official video, around the world official video, touch of class live, Touch Of Class, Around the World (La La La La La) My Heart Beats Like Drum (Dum Dum Dum)",20,https://i.ytimg.com/vi/Bd7nWM0MvLI/hqdefault.jpg,en,en,False,218,PT3M38S,hd,False,True,False,False,2307167,15451,198
aBlsrtxuwss,DK,2026-03-20T03:15:44.928598+00:00,2026-03-18T11:17:52Z,Spider-Man: Brand New Day - Official Trailer,Spider-Man: Brand New Day - Official Trailer,PlayStation,UC-2Y8dQb0S6DtpxNgAKoJKA,20,Gaming,"PlayStation, PS5, video games, next gen, Sony",5,https://i.ytimg.com/vi/aBlsrtxuwss/hqdefault.jpg,en,en,False,158,PT2M38S,hd,False,True,False,False,11617703,549924,23771
NBQaROBzeJM,DK,2026-03-20T03:15:44.928606+00:00,2026-03-16T18:00:29Z,SIDEMEN MEGA MINECRAFT HUNGER GAMES,SIDEMEN MEGA MINECRAFT HUNGER GAMES,MoreSidemen,UCh5mLn90vUaB1PbRRx_AiaA,20,Gaming,"sidemen, moresidemen, miniminter, ksi, zerkaa, behzinga, tbjzl, vikkstar, wroetoshaw",9,https://i.ytimg.com/vi/NBQaROBzeJM/hqdefault.jpg,en,en-GB,False,2613,PT43M33S,hd,False,True,False,False,2133030,99116,3783
l8sSQAa1kNM,DK,2026-03-20T03:15:44.928615+00:00,2026-03-19T15:00:08Z,"Hyunjin ""LOVER"" Video","Hyunjin ""LOVER"" Video",Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,10,Music,"JYP Entertainment, JYP, Stray Kids, 스트레이 키즈, SKZ, 스키즈, 방찬, BANG CHAN, 리노, LEE KNOW, 창빈, CHANGBIN, 현진, 황현진, HYUNJIN, 한, 한지성, HAN, 필릭스, FELIX, 용복, 승민, 김승민, SEUNGMIN, 아이엔, I.N, 현진 러버, 러버, LOVER, Hyunjin LOVER, 현진 LOVER, 스트레이 키즈 현진 러버, 스키즈 현진 러버, SKZ Hyunjin LOVER, Stray Kids Hyunjin LOVER, 황현진 러버, 황현진 LOVER, 현진 작사, 현진 작곡, 스키즈 현진 작사, 스키즈 현진 작곡, Hyunjin vocal, 현진 보컬, 현진 노래, 스키즈 자작곡, 스트레이키즈 자작곡, 황현진 작사, 황현진 작곡, 황현진 보컬, 현진 자작곡, 스키즈 현진 자작곡, 스트레이 키즈 현진 자작곡, Hyunjin song",53,https://i.ytimg.com/vi/l8sSQAa1kNM/hqdefault.jpg,en,ko,False,188,PT3M8S,hd,True,True,False,False,1405874,425920,38062
CNomQhGnaMU,DK,2026-03-20T03:15:44.928625+00:00,2026-03-18T14:49:36Z,Jet Lag: Taiwan Rail Rush [Trailer],Jet Lag: Taiwan Rail Rush [Trailer],Jet Lag: The Game,UCxkM67T_Iele-mRVUiBkRqg,19,Travel & Events,,0,https://i.ytimg.com/vi/CNomQhGnaMU/hqdefault.jpg,en,en,False,120,PT2M,hd,True,True,False,False,219982,14871,942
r_lh2rMM9MU,DK,2026-03-20T03:15:44.928632+00:00,2026-03-16T14:18:07Z,Danmark Er Med I En MrBeast Video!,Danmark Er Med I En MrBeast Video!,SondergaardLIVE,UCYMBefwPHdhMAn8dXZ8xqHA,22,People & Blogs,,0,https://i.ytimg.com/vi/r_lh2rMM9MU/hqdefault.jpg,da,da,False,1247,PT20M47S,hd,False,True,False,False,32277,696,15
-ExocpSklP8,DK,2026-03-20T03:15:44.928641+00:00,2026-02-22T05:00:00Z,Anna Frida - Ligeglad Ligeglad (LIVE) | MGP 2026,Anna Frida - Ligeglad Ligeglad (LIVE) | MGP 2026,MGP,UCj4kNATHMT0ge2WAGybO6rw,10,Music,"MGP, DR MGP, dansk mgp, børne melodi grand prix, dansk børne melodi grand prix, børnemusik, børne musik, musik til børn, mgp dr, mgp danmark, danmark mgp, mgp 2026, mgp 26, mgp26, mgp2026",15,https://i.ytimg.com/vi/-ExocpSklP8/hqdefault.jpg,da,da,False,183,PT3M3S,hd,False,True,False,False,320458,2495,0
