video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
imfr5Px5D54,PE,2025-12-27 02:26:39.192970+00:00,2025-12-27 00:00:54+00:00,J BALVIN || BZRP Music Sessions #62/66,J BALVIN || BZRP Music Sessions #62/66,Bizarrap,UCmS75G-98QihSusY7NfCZtw,24,Entertainment,"bizarrap, biza, bisa, bizzarrap, bzrp, bzrp music sessions, trap, musica latina, argentina, méxico, españa, hip hop, rap, biza session, reggaeton, music session, USA, latin music, el biza, gonzalo, bizarraaap, 66, 62, j balcin, jbalvin, balvin, la que me olvido, lego, for fun, pa divertirme, residente, colombia, bad bunny balvin, el biza la soltó, España, puerto rico, J BALVIN || BZRP Music Sessions #62/66, la 62 de biza, vallenato, jose balvin",40,https://i.ytimg.com/vi/imfr5Px5D54/hqdefault.jpg,es,es,False,197,PT3M17S,hd,True,True,False,False,759046,170457,18350
15KK0jSfDgE,PE,2025-12-27 02:26:39.193000+00:00,2025-12-25 17:30:03+00:00,Bridgerton: Temporada 4 | Tráiler oficial | Netflix,Bridgerton: Temporada 4 | Tráiler oficial | Netflix,Netflix Latinoamérica,UC5ZiUaIJ2b5dYBYGf5iEUrA,24,Entertainment,"Adjoa Andoh, Anthony, Benedict, Benophie, Bridgerton, Bridgerton Temporada 4, Bridgerton tráiler, Claudia Jessie, Colin, Drama de Netflix, Eloise, Fantasía, Francesca, Golda Rosheuvel, Hannah Dodd, Jonathan Bailey, Julia Quinn, Julie Andrews, Luke Newton, Luke Thompson, Michaela, Netflix, Nicola Coughlan, Penelope, Polin, Regencia, Romance, Ruth Gemmell, Serie de Netflix, Shondaland, Simone Ashley, Sophie, Yerin Ha, tráiler oficial",34,https://i.ytimg.com/vi/15KK0jSfDgE/hqdefault.jpg,es,en-US,False,153,PT2M33S,hd,False,False,False,False,270808,6543,220
o8BwOaA1wGk,PE,2025-12-27 02:26:39.193012+00:00,2025-12-26 18:00:55+00:00,CONSIGUIENDO EL DRAGON CANELONI DE GALLETA DE ROBA UN BRAINROT!🐉,CONSIGUIENDO EL DRAGON CANELONI DE GALLETA DE ROBA UN BRAINROT!🐉,ElAbrahaham,UColTsB6zogXWooPbeO67Wgw,20,Gaming,"abrahahamflores, stream, entretenimiento, divertido, risa, gracioso, gamer, videojuegos, elabrahaham, copilacion, videos graciosos, antes vs ahora, mexico vs usa, abrahaham, directos, shorts, tiktoks, streams, twitch, reaccion, reacciones",21,https://i.ytimg.com/vi/o8BwOaA1wGk/hqdefault.jpg,es-MX,es-419,False,1430,PT23M50S,hd,False,True,False,False,539143,15934,3030
H56HoJy7ek0,PE,2025-12-27 02:26:39.193022+00:00,2025-12-20 13:30:06+00:00,Marc Anthony - Qué Precio Tiene el Cielo (Letra),Marc Anthony - Qué Precio Tiene el Cielo (Letra),Tropicalízate,UCgVlte3RIwLsBlXukDv9p1Q,22,People & Blogs,,0,https://i.ytimg.com/vi/H56HoJy7ek0/hqdefault.jpg,es,es,False,304,PT5M4S,hd,False,True,False,False,119679,234,0
ZY_vjZ0fHxw,PE,2025-12-27 02:26:39.193030+00:00,2025-12-23 18:10:55+00:00,POR FIN trailer Avengers Doomsday de Capitán América en HD explicado,POR FIN trailer Avengers Doomsday de Capitán América en HD explicado,Pelicomic,UCsMzBY3X_RS6GhGBiHXW19A,24,Entertainment,,0,https://i.ytimg.com/vi/ZY_vjZ0fHxw/hqdefault.jpg,es,es-419,False,876,PT14M36S,hd,False,True,False,False,303535,16555,993
yrh9fdwEbJI,PE,2025-12-27 02:26:39.193038+00:00,2025-12-26 19:01:04+00:00,La mejor carta por cada año de Clash Royale,La mejor carta por cada año de Clash Royale,Gallet,UClKwHS2zflLheZFYEjN9sOg,20,Gaming,"clash royale, big brain, beniju, season, tiktok, tik tok, gallet, gallett, Clash Royale, Clash Royale Español, BENIJU, subir copas, guia de mazos, mejores mazos, god, withzack, beniyu, benju, team queso, clash royal, clas hroyale, evolucion, evoluciones, clash royale evoluciones, cartas torre, nuevo campeon, campeon, principito, nuevo hechizo, logbait, tronco, el jugador mas odiado de clash royale, beniju reacciona gallet, beniju reacciona, ejercito de esqueletos, evo ejercito de esqueletos",36,https://i.ytimg.com/vi/yrh9fdwEbJI/hqdefault.jpg,es,es,False,1565,PT26M5S,hd,False,True,False,False,311833,50061,2848
E3t8sLnK51U,PE,2025-12-27 02:26:39.193046+00:00,2025-12-26 05:00:14+00:00,Wisin & Yandel - Nadie Como Tú (Visualizer) ft. Don Omar,Wisin & Yandel - Nadie Como Tú (Visualizer) ft. Don Omar,WisinYYandelVEVO,UCPypl5EbwJfZzDOT_Ln-_QA,10,Music,"Wisin Yandel, Don Omar, WY Records Machete Music, Reggaeton",4,https://i.ytimg.com/vi/E3t8sLnK51U/hqdefault.jpg,es,es,False,223,PT3M43S,hd,False,True,False,False,68452,439,12
4h3i9_t4n8E,PE,2025-12-27 02:26:39.193054+00:00,2025-12-23 14:17:05+00:00,AVENGERS: DOOMSDAY Teaser Tráiler (2026),AVENGERS: DOOMSDAY Teaser Tráiler (2026),ONE Media Español,UCcVNDl7ZJMf9lC9a34CY4RA,1,Film & Animation,"Tráiler, Película, Español, Latino, 2025, Avengers Doomsday, Avengers Doomsday Tráiler, Captain America, Chris Evans, Marvel, Avengers 5",11,https://i.ytimg.com/vi/4h3i9_t4n8E/hqdefault.jpg,es,es,False,101,PT1M41S,hd,False,True,False,False,326485,14944,1143
al817qPtIK0,PE,2025-12-27 02:26:39.193063+00:00,2025-12-26 19:44:48+00:00,Minecraft pero los CRAFTEOS dan ARMAS!,Minecraft pero los CRAFTEOS dan ARMAS!,Dagar,UCEs5MQjXJq27-X2vgdwtYDw,20,Gaming,"Minecraft, minecraft mod, dagar y nacho, nacho y dagar, amigos minecraft, dagar minecraft, minecraft dagar",7,https://i.ytimg.com/vi/al817qPtIK0/hqdefault.jpg,es,es-ES,False,1867,PT31M7S,hd,False,True,False,False,363621,6651,1502
sXG7EaCyBRY,PE,2025-12-27 02:26:39.193071+00:00,2025-12-25 21:20:05+00:00,KRIS R - EL TESTIGO 🎄 (RIP PIRLO),KRIS R - EL TESTIGO 🎄 (RIP PIRLO),Kris R.,UCRfKDfw9XjSLHTBd8hokHig,10,Music,"kris r, el testigo, tiradera pirlo, pirlo, tiradera, la k, tiradera kris r, rip reboll, kris r., trap, colombia, latin trap, latin trap 2020, trap latino 2020, anuel, akapellah, acapela, reboll333, esteban rojas, cali cartel, los rogelios, dfzm, mi burrito sabanero, el exorcista, rip pirlo, trap de medallo, Que rico CB",27,https://i.ytimg.com/vi/sXG7EaCyBRY/hqdefault.jpg,es,es-419,False,539,PT8M59S,hd,False,True,False,False,1654608,150368,22695
